title,author,year,journal,doi,abstract,rejected_by_title_screening,reason_for_title_screening
In vitro mechanical characterization and modeling of subcutaneous adipose tissue: A comprehensive review,Sun Z.; Gepner B.D.; Cottler P.S.; Lee S.-H.; Kerrigan J.R.,2021,Journal of Biomechanical Engineering,10.1115/1.4050286,NOT_FOUND_IN_BIB.,TRUE,No abstract and unclear from title if it fits the topic.
Finite Element Analysis and Simulation of 316L Stainless Steel and Titanium Alloy for Orthopedic Hip and Knee Prosthetics,Ikumapayi O.M.; Bankole O.O.; Bayode A.; Onu P.; Ting T.T.,2025,Prosthesis,10.3390/prosthesis7030064,"Background: Ferrous metals are used extensively in the manufacturing of plates, pins, Kirschner wires (K-wires), and screws, and in the performance of partial and total joint replacement surgeries for the shoulder, elbow, and wrist joints. The primary surgical procedures commonly performed are hip and knee replacement surgeries. Metals possess a combination of high modulus, yield point, and ductility, rendering them well suited for load-bearing applications, as they can withstand significant loads without experiencing substantial deformations or permanent alterations in their dimensions. Application of metals and alloys is of prime importance in orthopedics as they lead the way to overcoming many issues encountered in implant use. In some instances, pure metals are used, but alloys consisting of two or more elements typically exhibit greater material characteristics, including corrosion resistance as well as toughness. The first item to address when selecting a metallic implant material is its biocompatibility. In this regard, three classes of materials are also commonly known as biomedical metals—316L stainless steel, pure titanium, and titanium alloys. Objective: The aim of this work is to create a model describing the material behavior and then simulate the metals under a load of 2300 N, which is equivalent to plastic loading. Methods: Under ten different case studies, a sub-routine was developed to combine the material characteristics of titanium and 316L stainless steel with the software. Results: The outcomes of the research were then investigated. A femur model was created using ANSYS software, and two materials, stainless steel and titanium, were used. The model was then exposed to a force of 2300 N. © 2025 by the authors.",TRUE,"Talks about metal implants, not plastic or cancer surgery aesthetics."
A Miniaturized Ultrasonic Micro-Hole Perforator for Minimally Invasive Craniotomy,Liao S.; Li X.; Deng M.; Liu B.; Wang Y.; Saw S.N.; Li Z.,2023,IEEE Transactions on Biomedical Engineering,10.1109/TBME.2023.3234965,"Objective: Micro-hole perforation on skull is urgently desired for minimally invasive insertion of micro-tools in brain for diagnostic or treatment purpose. However, a micro drill bit would easily fracture, making it difficult to safely generate a micro-hole on the hard skull. Methods: In this study, we present a method for ultrasonic vibration assisted micro-hole perforation on skull in a manner similar to subcutaneous injection on soft tissue. For this purpose, a high amplitude miniaturized ultrasonic tool with a 500 μm tip diameter micro-hole perforator was developed with simulation and experimental characterization. In-depth investigation of micro-hole generation mechanism was performed with systematic experiments on animal skull with a bespoke test rig; effects of vibration amplitude and feed rate on hole forming characteristics were systematically studied. It was observed that by exploiting skull bone's unique structural and material properties, the ultrasonic micro-perforator could locally damage bone tissue with micro-porosities, induce sufficient plastic deformation to bone tissue around the micro-hole and refrain elastic recovery after tool withdraw, generating a micro-hole on skull without material. Results: Under optimized conditions, high quality micro-holes could be formed on the hard skull with a force (<1 N) even smaller than that for subcutaneous injection on soft skin. Conclusion: This study would provide a safe and effective method and a miniaturized device for micro-hole perforation on skull for minimally invasive neural interventions. © 1964-2012 IEEE.",TRUE,"Focuses on surgical tools, not aesthetic outcome prediction."
Bone stress relaxation in press-fit femoral knee implant fixation: A combined experimental and computational analysis,Gersie T.; Bitter T.; Freeman R.; Verdonschot N.; Janssen D.,2025,Journal of the Mechanical Behavior of Biomedical Materials,10.1016/j.jmbbm.2025.107067,"Aseptic loosening is the leading cause of revision in cementless total knee arthroplasty (TKA), emphasizing the need for strong initial stability. Pre-clinical evaluations are essential for understanding implant fixation mechanics. Finite element (FE) models often rely on linear elastic bone material models, which inadequately represent bone behavior. Incorporating bone plasticity enhances predictions of primary stability, but may overestimate fixation by neglecting bone viscoelasticity and abrasion. Stress relaxation reduces press-fit forces, while bone abrasion weakens fixation strength. This study incorporated bone relaxation and abrasion into FE simulations of femoral TKA fixation and compared results to experimental measurements. Cadaveric femurs were implanted with femoral components, and strain gauges recorded outer surface strain over 24 h. A pull-off test evaluated fixation strength. FE models, using a plastic-viscoelastic bone material model, simulated these phases with varying levels of bone abrasion. The computational model without abrasion predicted implant strain 350 % higher than experimental measurements. 0.75 mm of virtual abrasion reduced overestimation to 150 %. Experimental strain reductions due to bone relaxation varied per reconstruction from 17 % to 37 %, while computational predictions were on average 41 % lower. Substantial variability was observed in both the experimental and simulated pull-off forces. Simulations without abrasion showed 180 %–360 % higher pull-off forces than the experiments. Including 0.5 mm of virtual abrasion reduced pull-off forces, aligning them more closely with experimental values, though 0.75 mm led to underestimation in some cases. These results highlight the need to include bone relaxation and abrasion in simulations to optimize implant designs and surgical outcomes. © 2025 The Authors",TRUE,"Focuses on knee implants, not on aesthetic surgery predictions."
A Gaussian process approach for rapid evaluation of skin tension,Nagle M.; Conroy Broderick H.; Vedel C.; Destrade M.; Fop M.; Ní Annaidh A.,2024,Acta Biomaterialia,10.1016/j.actbio.2024.05.025,"Skin tension plays a pivotal role in clinical settings, it affects scarring, wound healing and skin necrosis. Despite its importance, there is no widely accepted method for assessing in vivo skin tension or its natural pre-stretch. This study aims to utilise modern machine learning (ML) methods to develop a model that uses non-invasive measurements of surface wave speed to predict clinically useful skin properties such as stress and natural pre-stretch. A large dataset consisting of simulated wave propagation experiments was created using a simplified two-dimensional finite element (FE) model. Using this dataset, a sensitivity analysis was performed, highlighting the effect of the material parameters and material model on the Rayleigh and supersonic shear wave speeds. Then, a Gaussian process regression model was trained to solve the ill-posed inverse problem of predicting stress and pre-stretch of skin using measurements of surface wave speed. This model had good predictive performance (R2 = 0.9570) and it was possible to interpolate simplified parametric equations to calculate the stress and pre-stretch. To demonstrate that wave speed measurements could be obtained cheaply and easily, a simple experiment was devised to obtain wave speed measurements from synthetic skin at different values of pre-stretch. These experimental wave speeds agree well with the FE simulations, and a model trained solely on the FE data provided accurate predictions of synthetic skin stiffness. Both the simulated and experimental results provide further evidence that elastic wave measurements coupled with ML models are a viable non-invasive method to determine in vivo skin tension. Statement of significance: To prevent unfavourable patient outcomes from reconstructive surgery, it is necessary to determine relevant subject-specific skin properties. For example, during a skin graft, it is necessary to estimate the pre-stretch of the skin to account for shrinkage upon excision. Existing methods are invasive or rely on the experience of the clinician. Our work aims to present an innovative framework to non-invasively determine in vivo material properties using the speed of a surface wave travelling through the skin. Our findings have implications for the planning of surgical procedures and provides further motivation for the use of elastic wave measurements to determine in vivo material properties. © 2024 The Author(s)",TRUE,"Focuses on skin tension prediction, not aesthetic outcomes."
Distribution of surgical smoke particles within a simulated laparoscopic cavity utilizing an AirSeal® system,Lathers S.; Krishnamoorthy M.; Vasdev N.; Tegan G.,2023,Journal of Medical Engineering and Technology,10.1080/03091902.2022.2096134,"An exploratory study was performed to determine the distribution of surgical smoke particulate matter (SSPM) and evacuation times within an AirSeal® System and a traditional insufflation access system in various simulated surgical scenarios. Identified trends showed statistical significance when setting the AirSeal® System to Low smoke evacuation that it reduces the percentage of particulate matter at the Access Port opening. Additionally, it was observed that when utilising a laparoscopic tool a similar trend in particle distributions were seen between either insufflation and access system at the opening of the Access Port and trocar. Evacuation times for SSPM removal within the AirSeal® System showed an overall average to ≥95% reduction of 5.64 min within the surgical cavity, 3.69 min at the Access Port opening, and 3.61 min within the smoke evacuation line. The overall average for the traditional insufflation and access system was 9.38 min within the surgical cavity and 6.06 min at the trocar opening. Results showed that when using the traditional system compared to the AirSeal® System, it resulted in a percent change increase in evacuation times of 66.31% within the surgical cavity and 64.23% at the trocar opening. © 2022 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",TRUE,"Studies surgical smoke, not surgery outcomes or predictions."
Biomechanical analysis and design method for patient-specific reconstructive implants for large bone defects of the distal lateral femur,Wu P.-K.; Lee C.-W.; Sun W.-H.; Lin C.-L.,2022,Biosensors,10.3390/bios12010004,"This study aims to develop a generalizable method for designing a patient-specific reconstructive scaffold implant for a large distal lateral femur defect using finite element (FE) analysis and topology optimization. A 3D solid-core implant for the distal femur defect was designed to withhold the femur load. Data from FE analysis of the solid implant were used for topology optimization to obtain a ‘bone scaffold implant’ with light-weight internal cavity and surface lattice features to allow for filling with bone material. The bone scaffold implant weighed 69.6% less than the original solid-core implant. The results of FE simulation show that the bone repaired with the bone scaffold implant had lower total displacement (12%), bone plate von Mises stress (34%), bone maximum first principal stress (33%), and bone maximum first principal strain (32%) than did bone repaired with bone cement. The trend in experimental strain with increasing load on the composite femur was greater with bone cement than with the bone scaffold implant. This study presents a generalizable method for designing a patient-specific reconstructive scaffold implant for the distal lateral femur defect that has sufficient strength and space for filling with allograft bone. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",TRUE,"Focuses on implant design, not aesthetic outcome prediction."
A Six-Axis FBG Force/Moment Sensor With Nonlinear Decoupling and Fault Tolerance for Laparoscopic Instruments,Li T.; Huang P.; Wang S.; Li C.; Qiu L.; Lim C.M.; Ren H.,2024,IEEE Transactions on Industrial Electronics,10.1109/TIE.2023.3344822,"In this article, a six-axis fiber Bragg grating (FBG) force/moment (F/M) sensor is created and integrated into laparoscopic forceps to retrieve interactive force feedback for surgery. This sensor consists of a 3-D-printed ellipsoidal hollow elastomer and six Stewart-like suspended FBGs in the elastomer, leading to a compact size and high sensitivity. An algorithm based on the seagull optimization algorithm and extreme learning machine (SOA-ELM) is proposed to depress the nonlinear crosstalk effect of six-axis F/M output and realize fault tolerance of FBG fractures. Compared with the backpropagation neural network and extreme learning machine method, the experiment results show that the nonlinear decoupling performance based on SOA-ELM harvests an excellent accuracy with a small error of less than 6%, as well as the excellent fault-tolerance effect with an error below 10% while one FBG fractures. The maximum dynamic error of the designed sensor is within 10%. The feasibility and effectiveness of the designed sensor for real-time force feedback in laparoscopic surgery are demonstrated through simulation tasks of threading, suturing, cutting the ex vivo tissues, and operation in the oral cavity. Such merits show the great potential of the designed sensor to provide force feedback in surgery. © 2024 IEEE.",TRUE,"Focuses on sensor tech, not surgery outcome predictions."
Multi-scale constitutive model of human trabecular bone,Jankowski K.; Pawlikowski M.; Domański J.,2023,Continuum Mechanics and Thermodynamics,10.1007/s00161-022-01161-0,"The present study aims to formulate a new multiscale constitutive model of human trabecular bone. The trabecular bone was modelled as a nonlinear viscoelastic material. The viscoelastic effects of single trabeculae were considered by means of a hereditary integral in which stress depends on time and strain, while the elastic response was described by the hyperelastic Mooney–Rivlin model. The cuboid bone sample was extracted from the femoral head during the hip replacement surgery. The material constants in the constitutive equation were identified based on the stress relaxation test performed on the cuboid sample and the microindentation tests performed on trabeculae using the curve-fitting procedure. The microindentation tests were performed using a spherical tip instead of Vickers or Berkovich tip to minimize plastic effects during trabecular deformation. In order to validate formulated constitutive model, results from a FE simulation of stress relaxation test and uniaxial compression test were compared to the results of the corresponding experiments conducted on a macroscopic bone sample. Good agreement was observed between numerical and experimental results. The viscoelastic behaviour predicted by the proposed constitutive equation corresponds well to the response of human trabecular bone under various types of load conditions. This demonstrates the high ability of our constitutive model to simulate the behaviour of trabecular bone on a micro- and macroscopic scale. Thus, we conclude that the model, which was formulated for a single trabecula, can be successfully applied to simulate mechanical behaviour of the tissue in a macroscale. © 2022, The Author(s).",TRUE,"Deals with bone modeling, not surgery outcomes."
Skeletal muscle surrogates for the acquisition of muscle repair skills in upper limb surgery,Heskin L.; Galvin R.; Conroy J.; Traynor O.; Madden S.; Simms C.,2022,Journal of the Mechanical Behavior of Biomedical Materials,10.1016/j.jmbbm.2022.105216,"Introduction: The required fidelity of synthetic materials in surgical simulators to teach tissue handling and repair requirements should be as accurate as possible. There is a poor understanding of the relationship between choice of muscle surrogates and training outcome for trainee surgeons. To address this, the mechanical characteristics of several candidate synthetic muscle surrogates were measured, and their subjective biofidelity was qualitatively assessed by surgeons. Methods: Silicone was selected after assessing several material options and 16 silicone-based surrogates were evaluated. Three of the closest samples to muscle (Samples 1.1, 1.2, 1.3) and one with inserted longitudinal fibres (1.2F) were mechanically tested in the following: compression and tension, needle puncture force and suture pull-out in comparison with real muscle. The four samples were evaluated by 17 Plastic and Orthopaedic surgeons to determine their views of the fidelity with regard to the handling properties, needle insertion and ease of suture pull-out. Results: The mechanical testing showed the surrogates exhibited varying characteristics that matched some of the properties of muscle, though none recreated all the mechanical characteristics of native muscle. Good biofidelity was generally achieved for compression stiffness and needle puncture force, but it was evident that tensile stiff was too low for all samples. The pull-out forces were variable and too low, except for the sample with longitudinal fibres. In the qualitative assessment, the overall median scores for the four surrogate samples were all between 30 and 32 (possible range 9–45), indicating limited differentiation of the samples tested by the surgeons. Conclusions: The surrogate materials showed a range of mechanical properties bracketing those of real muscle, thus presenting a suitable combination of candidates for use in simulators to attain the requirements as set out in the learning outcomes of muscle repair. However, despite significant mechanical differences between the samples, all surgeons found the samples to be similar to each other. © 2022",TRUE,"Focuses on surgical training tools, not on predicting or evaluating surgery results."
Biomechanical design of a new percutaneous locked plate for comminuted proximal tibia fractures,Djuricic A.; Gee A.; Schemitsch E.H.; Quenneville C.E.; Zdero R.,2022,Medical Engineering and Physics,10.1016/j.medengphy.2022.103801,"Comminuted proximal tibia fractures are an ongoing surgical challenge. This “proof of concept” study is the first step in designing a new percutaneous plate for this injury under toe-touch weight-bearing as prescribed after surgery. Finite element simulations generated design curves for overall stiffness, bone and implant stress, and interfragmentary motion using 3 fixations (no, 1, or 2 “kickstand” (KS) screws across the fracture gap) over a range of plate elastic moduli (EP = 5 to 200 GPa). Combining well-established optimization criteria to enhance callus formation (i.e. 0.2 mm ≤ axial interfragmentary motion ≤ 1 mm; shear / axial interfragmentary motion ratio < 1.6), lessen stress shielding (i.e. bone stress under the proposed plate > bone stress under a traditional titanium or steel plate), and reduce steel screw breakage (i.e. screw max stress < ultimate tensile stress of steel) resulted in plate design recommendations: 172.6 ≤ EP < 200 GPa (no KS screw), 79.8 ≤ EP < 100 GPa (1 KS screw), and 4.9 ≤ EP < 100 GPa (2 KS screws). A prototype plate could be made from materials currently used or proposed for orthopaedics, such as polymers, fiber-reinforced polymers, fiber metal laminates, metal foams, or shape memory alloys. © 2022",TRUE,"Deals with bone implants, not surgery outcomes."
