title,author,year,journal,doi,abstract,rejected_by_title_screening,reason_for_title_screening
Chemical-physical behavior of Hydroxyapatite: A modeling approach,Guerfi Z.; Kribaa O.K.; Djouama H.,2024,Journal of the Mechanical Behavior of Biomedical Materials,10.1016/j.jmbbm.2023.106229,"Hydroxyapatite (HAp) is a ceramic composed of calcium phosphate, frequently employed as a bone substitute material due to its biocompatibility and bioactivity. Over the past century, there has been substantial attention in fields such as orthopedics and plastic surgery. Remarkably, synthetic HAp exhibits properties akin to those found in natural bone and teeth. Computational theoretical chemistry focuses on numerically computing molecular electronic structures and interactions. As chemistry education evolves, it's imperative to acknowledge the increasing significance of computational tools in research. Density Functional Theory (DFT) stands out as the most widely adopted method in contemporary computational chemistry. In this study, we synthesized Hydroxyapatite (HAp) via the double decomposition method using synthetic sources. The synthesized materials underwent thorough characterization, including X-ray Diffraction (XRD), UV–visible spectroscopy, and Fourier Transform Infrared (FTIR) spectroscopy under various conditions. Additionally, we performed quantum mechanical computations on the HAp molecule using density functional theory. Our results were then compared with experimental data. Our experimental findings highlight the successful synthesis of HAp, particularly under specific temperature conditions. Moreover, the quantum chemistry calculations exhibited excellent agreement with the experimental results, especially in terms of spectroscopic characterizations. © 2023",FALSE,
A Deep Learning Approach for Assessment of Breast Aesthetic Score and Keypoint Localization,"Park, Jin Byeong and Kim, Myeongju and Park, Joseph Kyu-Hyung and Myung, Yujin",2024,,,NOT_FOUND_IN_BIB.,FALSE,
In vitro mechanical characterization and modeling of subcutaneous adipose tissue: A comprehensive review,Sun Z.; Gepner B.D.; Cottler P.S.; Lee S.-H.; Kerrigan J.R.,2021,Journal of Biomechanical Engineering,10.1115/1.4050286,NOT_FOUND_IN_BIB.,TRUE,No abstract and unclear from title if it fits the topic.
Finite Element Analysis and Simulation of 316L Stainless Steel and Titanium Alloy for Orthopedic Hip and Knee Prosthetics,Ikumapayi O.M.; Bankole O.O.; Bayode A.; Onu P.; Ting T.T.,2025,Prosthesis,10.3390/prosthesis7030064,"Background: Ferrous metals are used extensively in the manufacturing of plates, pins, Kirschner wires (K-wires), and screws, and in the performance of partial and total joint replacement surgeries for the shoulder, elbow, and wrist joints. The primary surgical procedures commonly performed are hip and knee replacement surgeries. Metals possess a combination of high modulus, yield point, and ductility, rendering them well suited for load-bearing applications, as they can withstand significant loads without experiencing substantial deformations or permanent alterations in their dimensions. Application of metals and alloys is of prime importance in orthopedics as they lead the way to overcoming many issues encountered in implant use. In some instances, pure metals are used, but alloys consisting of two or more elements typically exhibit greater material characteristics, including corrosion resistance as well as toughness. The first item to address when selecting a metallic implant material is its biocompatibility. In this regard, three classes of materials are also commonly known as biomedical metals—316L stainless steel, pure titanium, and titanium alloys. Objective: The aim of this work is to create a model describing the material behavior and then simulate the metals under a load of 2300 N, which is equivalent to plastic loading. Methods: Under ten different case studies, a sub-routine was developed to combine the material characteristics of titanium and 316L stainless steel with the software. Results: The outcomes of the research were then investigated. A femur model was created using ANSYS software, and two materials, stainless steel and titanium, were used. The model was then exposed to a force of 2300 N. © 2025 by the authors.",TRUE,"Talks about metal implants, not plastic or cancer surgery aesthetics."
Experimental and numerical analysis of innovative processes for producing a resorbable cheekbone prosthesis,Guglielmi P.; Cusanno A.; Bagudanch I.; Centeno G.; Ferrer I.; Garcia-Romeu M.L.; Palumbo G.,2021,Journal of Manufacturing Processes,10.1016/j.jmapro.2021.07.060,"Magnesium alloys have gained interest in biomedical applications due to the mechanical properties (very similar to the human bones) and the capability to be absorbed (additional surgery steps after the implantation not necessary). But suitable manufacturing techniques are required for these alloys, since the standard ones (machining, casting) or even the newest (additive) cannot be successfully adopted in every situation or cannot guarantee the requirements in terms of precision or cost. In the present paper two sheet forming processes (the Super Plastic Forming and the Incremental Sheet Forming) have been investigated for manufacturing a resorbable cheekbone implant using the Mg alloy AZ31B. An experimental/numerical approach was adopted: specific tests were conducted for determining the material behaviour to be implemented in the process simulations used for designing both the manufacturing processes; finally some prototypes of the investigated case study were produced and the post forming characteristics (thickness, roughness, accuracy) evaluated. Both the processes allowed to successfully and optimally produce the resorbable prosthesis adopted as case study, which revealed to be characterised by good enough surface quality (especially in the case of the Super Plastic Forming) and uniform thickness distribution (especially in the case of the Incremental Sheet Forming). © 2021 The Society of Manufacturing Engineers",FALSE,
"Vascular anastomoses, hemodynamics and hemorheology: Some general thoughts and open questions",Nemeth N.,2022,Series on Biomechanics,10.7546/SB.09.2022,"Safe and well-functioning vascular anastomoses are essential in the everyday practice of vascular surgery, heart surgery, transplantation surgery as well as in reconstructive procedures, including microsurgical approaches. Regeneration of artificial vascular anastomoses, especially the maturation of fistulas and venous grafts, is strongly influenced by the hemodynamic forces driven by the flow characteristics as well. Exploring the hemorheological and hemodynamic conditions thus is inevitable to understand better the physiology and pathophysiology of the regeneration of vascular anastomoses and graft implantations, as well as in other vascular surgical interventions. In this paper main aspects and findings of experimental surgical and microsurgical models are summarized, studying artificial arterio-venous fistulas, porto-caval shunts, and various grafts using in vivo measurements, hemorheological and hemodynamic investigations, as well as special 3D flow simulation studies on ex vivo vascular segments. © 2022, Bulgarska Akademiya na Naukite. All rights reserved.",FALSE,
"Development of a high-fidelity, 3D-printed Veau class II cleft palate simulator with patient-specific capabilities",Michaels R.E.; Witsberger C.A.; Cin M.D.; Zugris N.V.; Jaksic D.; Wen K.; Nourmohammadi Z.; Zopf D.A.,2022,Journal of 3D Printing in Medicine,10.2217/3dp-2021-0027,"Aim: Orofacial clefts are prevalent with limited access to surgical correction. To address this issue our objective was to create a low-cost, high-fidelity, 3D-printed Veau class II cleft palate surgical simulator. Materialsmethods: A 3D-printed Veau class II cleft palate simulator was designed using de-identified computed tomography data and computer aided design software. The simulator then underwent multi-institutional expert otolaryngologist validation. Results: The Veau class II cleft palate simulator was rated on a scale of 1-5; 3.8 as a training tool, 4.20 as a competency evaluation tool and 4.20 as a rehearsal tool. The simulator was also rated as very relevant (4.20) and very useful (4.60). Conclusion: The low-cost, high-fidelity Veau II cleft palate simulator was rated highly for physical attributes, realism, performance and usefulness.  © 2022 Future Medicine Ltd.",FALSE,
Eco-friendly synthesis of mesoporous bioactive glass ceramics and functionalization for drug delivery and hard tissue engineering applications,Tabassum S.; Saqib M.; Batool M.; Sharif F.; Gilani M.A.; Huck O.,2024,Biomedical Materials (Bristol),10.1088/1748-605X/ad2c19,"Hard tissue regenerative mesoporous bioactive glass (MBG) has traditionally been synthesized using costly and toxic alkoxysilane agents and harsh conditions. In this study, MBG was synthesized using the cheaper reagent SiO2 by using a co-precipitation approach. The surface properties of MBG ceramic were tailored by functionalizing with amino and carboxylic groups, aiming to develop an efficient drug delivery system for treating bone infections occurring during or after reconstruction surgeries. The amino groups were introduced through a salinization reaction, while the carboxylate groups were added via a chain elongation reaction. The MBG, MBG-NH2, and MBG-NH-COOH were analyzed by using various techniques: x-ray diffraction (XRD), Fourier transform infrared spectroscopy (FTIR), Brunauer-Emmett-Teller (BET), scanning electron microscopy and energy-dispersive x-ray spectroscopy. The XRD results confirmed the successful preparation of MBG, and the FTIR results indicated successful functionalization. BET analysis revealed that the prepared samples were mesoporous, and functionalization tuned their surface area and surface properties. Cefixime, an antibiotic, was loaded onto MBG, MBG-NH2, and MBG-NH-COOH to test their drug-carrying capacity. Comparatively, MBG-NH-COOH showed good drug loading and sustained release behavior. The release of the drug followed the Fickian diffusion mechanism. All prepared samples displayed favorable biocompatibility at higher concentration in the Alamar blue assay with MC3T3 cells and exhibited the good potential for hard tissue regeneration, as carbonated hydroxyapatite formed on their surfaces in simulated body fluid. © 2024 IOP Publishing Ltd.",FALSE,
An Advanced Human Bone Tissue Culture Model for the Assessment of Implant Osteointegration In Vitro,Maglio M.; Fini M.; Sartori M.; Codispoti G.; Borsari V.; Dallari D.; Ambretti S.; Rocchi M.; Tschon M.,2024,International Journal of Molecular Sciences,10.3390/ijms25105322,"In the field of biomaterials for prosthetic reconstructive surgery, there is the lack of advanced innovative methods to investigate the potentialities of smart biomaterials before in vivo tests. Despite the complex osteointegration process being difficult to recreate in vitro, this study proposes an advanced in vitro tissue culture model of osteointegration using human bone. Cubic samples of trabecular bone were harvested, as waste material, from hip arthroplasty; inner cylindrical defects were created and assigned to the following groups: (1) empty defects (CTRneg); (2) defects implanted with a cytotoxic copper pin (CTRpos); (3) defects implanted with standard titanium pins (Ti). Tissues were dynamically cultured in mini rotating bioreactors and assessed weekly for viability and sterility. After 8 weeks, immunoenzymatic, microtomographic, histological, and histomorphometric analyses were performed. The model was able to simulate the effects of implantation of the materials, showing a drop in viability in CTR+, while Ti appears to have a trophic effect on bone. MicroCT and a histological analysis supported the results, with signs of matrix and bone deposition at the Ti implant site. Data suggest the reliability of the tested model in recreating the osteointegration process in vitro with the aim of reducing and refining in vivo preclinical models. © 2024 by the authors.",FALSE,
A Miniaturized Ultrasonic Micro-Hole Perforator for Minimally Invasive Craniotomy,Liao S.; Li X.; Deng M.; Liu B.; Wang Y.; Saw S.N.; Li Z.,2023,IEEE Transactions on Biomedical Engineering,10.1109/TBME.2023.3234965,"Objective: Micro-hole perforation on skull is urgently desired for minimally invasive insertion of micro-tools in brain for diagnostic or treatment purpose. However, a micro drill bit would easily fracture, making it difficult to safely generate a micro-hole on the hard skull. Methods: In this study, we present a method for ultrasonic vibration assisted micro-hole perforation on skull in a manner similar to subcutaneous injection on soft tissue. For this purpose, a high amplitude miniaturized ultrasonic tool with a 500 μm tip diameter micro-hole perforator was developed with simulation and experimental characterization. In-depth investigation of micro-hole generation mechanism was performed with systematic experiments on animal skull with a bespoke test rig; effects of vibration amplitude and feed rate on hole forming characteristics were systematically studied. It was observed that by exploiting skull bone's unique structural and material properties, the ultrasonic micro-perforator could locally damage bone tissue with micro-porosities, induce sufficient plastic deformation to bone tissue around the micro-hole and refrain elastic recovery after tool withdraw, generating a micro-hole on skull without material. Results: Under optimized conditions, high quality micro-holes could be formed on the hard skull with a force (<1 N) even smaller than that for subcutaneous injection on soft skin. Conclusion: This study would provide a safe and effective method and a miniaturized device for micro-hole perforation on skull for minimally invasive neural interventions. © 1964-2012 IEEE.",TRUE,"Focuses on surgical tools, not aesthetic outcome prediction."
