title,author,year,journal,doi,abstract,rejected_by_abstract_screening,reason_for_abstract_screening
Experimental and numerical analysis of innovative processes for producing a resorbable cheekbone prosthesis,Guglielmi P.; Cusanno A.; Bagudanch I.; Centeno G.; Ferrer I.; Garcia-Romeu M.L.; Palumbo G.,2021,Journal of Manufacturing Processes,10.1016/j.jmapro.2021.07.060,"Magnesium alloys have gained interest in biomedical applications due to the mechanical properties (very similar to the human bones) and the capability to be absorbed (additional surgery steps after the implantation not necessary). But suitable manufacturing techniques are required for these alloys, since the standard ones (machining, casting) or even the newest (additive) cannot be successfully adopted in every situation or cannot guarantee the requirements in terms of precision or cost. In the present paper two sheet forming processes (the Super Plastic Forming and the Incremental Sheet Forming) have been investigated for manufacturing a resorbable cheekbone implant using the Mg alloy AZ31B. An experimental/numerical approach was adopted: specific tests were conducted for determining the material behaviour to be implemented in the process simulations used for designing both the manufacturing processes; finally some prototypes of the investigated case study were produced and the post forming characteristics (thickness, roughness, accuracy) evaluated. Both the processes allowed to successfully and optimally produce the resorbable prosthesis adopted as case study, which revealed to be characterised by good enough surface quality (especially in the case of the Super Plastic Forming) and uniform thickness distribution (especially in the case of the Incremental Sheet Forming). © 2021 The Society of Manufacturing Engineers",TRUE,"Focuses on manufacturing methods for cheekbone prostheses but doesn't cover automatic prediction or assessment of surgical aesthetics, so it doesn't fit the review's topic."
"Development of a high-fidelity, 3D-printed Veau class II cleft palate simulator with patient-specific capabilities",Michaels R.E.; Witsberger C.A.; Cin M.D.; Zugris N.V.; Jaksic D.; Wen K.; Nourmohammadi Z.; Zopf D.A.,2022,Journal of 3D Printing in Medicine,10.2217/3dp-2021-0027,"Aim: Orofacial clefts are prevalent with limited access to surgical correction. To address this issue our objective was to create a low-cost, high-fidelity, 3D-printed Veau class II cleft palate surgical simulator. Materialsmethods: A 3D-printed Veau class II cleft palate simulator was designed using de-identified computed tomography data and computer aided design software. The simulator then underwent multi-institutional expert otolaryngologist validation. Results: The Veau class II cleft palate simulator was rated on a scale of 1-5; 3.8 as a training tool, 4.20 as a competency evaluation tool and 4.20 as a rehearsal tool. The simulator was also rated as very relevant (4.20) and very useful (4.60). Conclusion: The low-cost, high-fidelity Veau II cleft palate simulator was rated highly for physical attributes, realism, performance and usefulness.  © 2022 Future Medicine Ltd.",TRUE,"Focuses on building a surgical simulator for cleft palate training without covering automatic prediction or assessment of aesthetic results in plastic or cancer-related surgery, which is what this review is about."
Eco-friendly synthesis of mesoporous bioactive glass ceramics and functionalization for drug delivery and hard tissue engineering applications,Tabassum S.; Saqib M.; Batool M.; Sharif F.; Gilani M.A.; Huck O.,2024,Biomedical Materials (Bristol),10.1088/1748-605X/ad2c19,"Hard tissue regenerative mesoporous bioactive glass (MBG) has traditionally been synthesized using costly and toxic alkoxysilane agents and harsh conditions. In this study, MBG was synthesized using the cheaper reagent SiO2 by using a co-precipitation approach. The surface properties of MBG ceramic were tailored by functionalizing with amino and carboxylic groups, aiming to develop an efficient drug delivery system for treating bone infections occurring during or after reconstruction surgeries. The amino groups were introduced through a salinization reaction, while the carboxylate groups were added via a chain elongation reaction. The MBG, MBG-NH2, and MBG-NH-COOH were analyzed by using various techniques: x-ray diffraction (XRD), Fourier transform infrared spectroscopy (FTIR), Brunauer-Emmett-Teller (BET), scanning electron microscopy and energy-dispersive x-ray spectroscopy. The XRD results confirmed the successful preparation of MBG, and the FTIR results indicated successful functionalization. BET analysis revealed that the prepared samples were mesoporous, and functionalization tuned their surface area and surface properties. Cefixime, an antibiotic, was loaded onto MBG, MBG-NH2, and MBG-NH-COOH to test their drug-carrying capacity. Comparatively, MBG-NH-COOH showed good drug loading and sustained release behavior. The release of the drug followed the Fickian diffusion mechanism. All prepared samples displayed favorable biocompatibility at higher concentration in the Alamar blue assay with MC3T3 cells and exhibited the good potential for hard tissue regeneration, as carbonated hydroxyapatite formed on their surfaces in simulated body fluid. © 2024 IOP Publishing Ltd.",TRUE,"Focuses on creating and modifying bioactive glass for medical uses, which doesn't connect with predicting or assessing aesthetic results in plastic or cancer-related surgery."
A comprehensive simulation framework for predicting the eCLIPs implant crimping into a catheter and its deployment mechanisms,Jahandardoost M.; Ricci D.; Milani A.S.; Jahandardoost M.; Grecov D.,2024,Journal of the Mechanical Behavior of Biomedical Materials,10.1016/j.jmbbm.2023.106227,"Tubular flow diverters (FDs) represent an important subset of the endovascular treatment of cerebral aneurysms (CAs), acting to reduce aneurysm inflow, eventually resulting in aneurysm thrombosis and occlusion. eCLIPs (product of Evasc Neurovascular Enterprises, Vancouver, Canada), an innovative non-tubular implant causes flow diversion by bridging the neck of bifurcation CAs. However, in a small subset of challenging bifurcation aneurysms with fusiform pathology, the currently available eCLIPs models do not provide sufficient neck bridging resulting in a gap created between the device structure and the aneurysm/artery wall. To overcome this challenge, a new design of the eCLIPs (VR-eCLIPs) was developed by varying the rib length to cover such an inflow gap. To optimize the new product development process, and avoiding expensive and time-consuming iterative manufacture of prototype devices, we have developed a new finite element model to simulate the crimping and expansion processes of the VR-eCLIPs implant, and assess the possibility of plastic deformation. Results indicated that neither eCLIPs nor VR-eCLIPs experience plastic deformation during the crimping process. Upon full expansion, the ribs of VR-eCLIPs interact with the aneurysm and artery wall to cover the inflow gap that exists in certain challenging anatomies. This process serves as a basis to expedite design development prior to prototype manufacturing. © 2023 Elsevier Ltd",TRUE,"Focuses on mechanical simulation of a neurovascular implant, which doesn’t connect to predicting or assessing aesthetic results in plastic and cancer-related surgeries."
Design and development of model eye for retina laser by using additive manufacturing,Pugalendhi A.; Ranganathan R.; Venkatapathy N.; Narendran K.; Shah P.K.,2021,"Proceedings of the Institution of Mechanical Engineers, Part H: Journal of Engineering in Medicine",10.1177/0954411920960548,"Surgical skill of the surgeon can be improved by surgical simulation. Especially in ophthalmology, it is impossible to use real human/non-human primate eyes for ophthalmology surgery practice. However, surgical practice is most important for ophthalmologist. The retina laser surgery is one of the ophthalmology surgeries and it requires more surgical practice for surgeons to use the laser beam precisely to coagulate and fuse small areas of tissue. Dealing with the prospect of vision reduction or vision loss presents a peculiar problem and that can be highly stressful and frustrating for both doctors and patients. In this regard, training for indirect ophthalmoscopy and retinal photocoagulation is undergone using model eyes instead of real eyes. Properties and functioning of an existing model eye are huge and they differ from real human eye such as casings are completely rigid and focusing of retinal fundus is not completely covered. Therefore, this research concentrates to develop a model eye that assimilates close to the human eye by focussing on the maximum viewing area that is not done at the moment. Finally, the design and development of re-engineered model eye for retina laser is fabricated by additive manufacturing. Compared to existing plastic model eye, viewing area and viewing angle of the re-engineered model eye is increased by 16.66% and 6.14%, respectively. Due to design modifications and elimination of the insert, it can be reduced by 18.99% and 13.95% of height and weight of the top casing respectively. Developed re-engineered model eye will improve the surgical and diagnostic skill of the surgeon and increase their confidence and proficiency. It also augments the effective use of essential ophthalmic instruments. Additionally, it can reduce the surgical error and meet the existing demand of actual eyes for surgical practices. © IMechE 2020.",TRUE,"Focuses on building a model eye for surgical practice but doesn’t cover predicting or assessing aesthetic results in plastic or cancer-related surgery, so it doesn’t fit the review’s topic."
Analysis of In Vivo Skin Anisotropy Using Elastic Wave Measurements and Bayesian Modelling,Nagle M.; Price S.; Trotta A.; Destrade M.; Fop M.; Ní Annaidh A.,2023,Annals of Biomedical Engineering,10.1007/s10439-023-03185-2,"In vivo skin exhibits viscoelastic, hyper-elastic and non-linear characteristics. It is under a constant state of non-equibiaxial tension in its natural configuration and is reinforced with oriented collagen fibers, which gives rise to anisotropic behaviour. Understanding the complex mechanical behaviour of skin has relevance across many sectors including pharmaceuticals, cosmetics and surgery. However, there is a dearth of quality data characterizing the anisotropy of human skin in vivo. The data available in the literature is usually confined to limited population groups and/or limited angular resolution. Here, we used the speed of elastic waves travelling through the skin to obtain measurements from 78 volunteers ranging in age from 3 to 93 years old. Using a Bayesian framework allowed us to analyse the effect that age, gender and level of skin tension have on the skin anisotropy and stiffness. First, we propose a new measurement of anisotropy based on the eccentricity of angular data and conclude that it is a more robust measurement when compared to the classic “anisotropic ratio”. Our analysis then concluded that in vivo skin anisotropy increases logarithmically with age, while the skin stiffness increases linearly along the direction of Langer Lines. We also concluded that the gender does not significantly affect the level of skin anisotropy, but it does affect the overall stiffness, with males having stiffer skin on average. Finally, we found that the level of skin tension significantly affects both the anisotropy and stiffness measurements employed here. This indicates that elastic wave measurements may have promising applications in the determination of in vivo skin tension. In contrast to earlier studies, these results represent a comprehensive assessment of the variation of skin anisotropy with age and gender using a sizeable dataset and robust modern statistical analysis. This data has implications for the planning of surgical procedures and questions the adoption of universal cosmetic surgery practices for very young or elderly patients. © 2023, The Author(s).",TRUE,"Focuses on measuring skin properties with elastic waves but doesn’t cover automatic prediction or evaluation of aesthetic results in plastic or cancer surgery, so it doesn’t fit the review’s focus."
Pilot Evaluation of Silicone Surrogates for Oral Mucosa Simulation in Craniofacial Surgical Training,Cin M.D.; Koka K.; Darragh J.; Nourmohammadi Z.; Hamdan U.; Zopf D.A.,2024,Biomimetics,10.3390/biomimetics9080464,"Surgical simulators are crucial in early craniofacial and plastic surgical training, necessitating synthetic materials that accurately replicate tissue properties. Recent critiques of our lab’s currently deployed silicone surrogate have highlighted numerous areas for improvement. To further refine our models, our group’s objective is to find a composition of materials that is closest in fidelity to native oral mucosa during surgical rehearsal by expert craniofacial surgeons. Fifteen platinum silicone-based surrogate samples were constructed with variable hardness and slacker percentages. These samples underwent evaluation of tactile sensation, hardness, needle puncture, cut resistance, suture retention, defect repair, and tensile elasticity. Expert craniofacial surgeon evaluators provided focused qualitative feedback on selected top-performing samples for further assessment and statistical comparisons. An evaluation revealed surrogate characteristics that were satisfactory and exhibited good performance. Sample 977 exhibited the highest performance, and comparison with the original surrogate (sample 810) demonstrated significant improvements in critical areas, emphasizing the efficacy of the refined composition. The study identified a silicone composition that directly addresses the feedback received by our team’s original silicone surrogate. The study underscores the delicate balance between biofidelity and practicality in surgical simulation. The need for ongoing refinement in surrogate materials is evident to optimize training experiences for early surgical learners. © 2024 by the authors.",TRUE,"Focuses on creating and testing silicone models for surgical practice, not on predicting or assessing aesthetic results in plastic or cancer-related surgeries."
Computational mechanobiology model evaluating healing of postoperative cavities following breast-conserving surgery,Harbin Z.; Sohutskay D.; Vanderlaan E.; Fontaine M.; Mendenhall C.; Fisher C.; Voytik-Harbin S.; Tepole A.B.,2023,Computers in Biology and Medicine,10.1016/j.compbiomed.2023.107342,"Breast cancer is the most commonly diagnosed cancer type worldwide. Given high survivorship, increased focus has been placed on long-term treatment outcomes and patient quality of life. While breast-conserving surgery (BCS) is the preferred treatment strategy for early-stage breast cancer, anticipated healing and breast deformation (cosmetic) outcomes weigh heavily on surgeon and patient selection between BCS and more aggressive mastectomy procedures. Unfortunately, surgical outcomes following BCS are difficult to predict, owing to the complexity of the tissue repair process and significant patient-to-patient variability. To overcome this challenge, we developed a predictive computational mechanobiological model that simulates breast healing and deformation following BCS. The coupled biochemical-biomechanical model incorporates multi-scale cell and tissue mechanics, including collagen deposition and remodeling, collagen-dependent cell migration and contractility, and tissue plastic deformation. Available human clinical data evaluating cavity contraction and histopathological data from an experimental porcine lumpectomy study were used for model calibration. The computational model was successfully fit to data by optimizing biochemical and mechanobiological parameters through Gaussian process surrogates. The calibrated model was then applied to define key mechanobiological parameters and relationships influencing healing and breast deformation outcomes. Variability in patient characteristics including cavity-to-breast volume percentage and breast composition were further evaluated to determine effects on cavity contraction and breast cosmetic outcomes, with simulation outcomes aligning well with previously reported human studies. The proposed model has the potential to assist surgeons and their patients in developing and discussing individualized treatment plans that lead to more satisfying post-surgical outcomes and improved quality of life. © 2023 Elsevier Ltd",TRUE,"Focuses on simulating tissue healing with computational models instead of using image analysis or AI to predict or evaluate aesthetic results, which doesn’t match the review’s focus."
"Evaluation of in-house, haptic assisted surgical planning for virtual reduction of complex mandibular fractures",Nilsson J.; Nysjö F.; Nyström I.; Kämpe J.; Thor A.,2021,International Journal of Computer Assisted Radiology and Surgery,10.1007/s11548-021-02353-w,"Purpose: The management of complex mandible fractures, i.e. severely comminuted or fractures of edentulous/atrophic mandibles, can be challenging. This is due to the three-dimensional loss of bone, which limits the possibility for accurate anatomic reduction. Virtual surgery planning (VSP) can provide improved accuracy and shorter operating times, but is often not employed for trauma cases because of time constraints and complex user interfaces limited to two-dimensional interaction with three-dimensional data. Methods: In this study, we evaluate the accuracy, precision, and time efficiency of the haptic assisted surgery planning system (HASP), an in-house VSP system that supports stereo graphics, six degrees-of-freedom input, and haptics to improve the surgical planning. Three operators performed planning in HASP on computed tomography (CT) and cone beam computed tomography (CBCT) images of a plastic skull model and on twelve retrospective cases with complex mandible fractures. Results: The results show an accuracy and reproducibility of less than 2 mm when using HASP for virtual fracture reduction, with an average planning time of 15 min including time for segmentation in the software BoneSplit. Conclusion: This study presents an in-house haptic assisted planning tool for cranio-maxillofacial surgery with high usability that can be used for preoperative planning and evaluation of complex mandible fractures. © 2021, The Author(s).",TRUE,"Focuses on virtual surgical planning without covering automatic prediction or evaluation of aesthetic results, which falls outside the review’s main topics."
Customized reconstructive prosthesis design based on topological optimization to treat severe proximal tibia defect,Zhang A.; Chen H.; Liu Y.; Wu N.; Chen B.; Zhao X.; Han Q.; Wang J.,2021,Bio-Design and Manufacturing,10.1007/s42242-020-00102-7,"A novel reconstructive prosthesis was designed with topological optimization (TO) and a lattice structure to enhance biomechanical and biological properties in the proximal tibia. The biomechanical performance was validated through finite element analysis (FEA) and biomechanical tests. The tibia with inhomogeneous material properties was reconstructed according to computed tomography images, and different components were designed to simulate the operation. Minimum compliance TO subject to a volume fraction constraint combined with a graded lattice structure was utilized to redesign the prosthesis. FEA was performed to evaluate the mechanical performances of the tibia and implants after optimization, including stress, micromotion, and strain energy. The results were analyzed by paired-samples t tests, and p < 0.05 was considered significant. Biomechanical testing was used to verify the tibial stresses. Compared to the original group (OG), the TO group (TOG) exhibited lower stress on the stem, and the maximum von Mises stresses were 87.2 and 53.1 MPa, respectively, a 39.1% reduction (p < 0.05). Conversely, the stress and strain energy on the tibia increased in the TOG. The maximum von Mises stress values were 16.4 MPa in the OG and 22.9 MPa in the TOG with a 39.6% increase (p < 0.05), and the maximum SED value was 0.026 MPa in the OG and 0.042 MPa in the TOG, corresponding to an increase of 61.5% (p < 0.05). The maximum micromotions in the distal end of the stem were 135 μm in the OG and 68 μm in the TOG, almost a 50% reduction. The stress curves of the biomechanical test coincided well with the FEA results. The TO approach can effectively reduce the whole weight of the prosthesis and improve the biomechanical environment of the tibia. It could also pave the way for next-generation applications in orthopedics surgery. © 2020, Zhejiang University Press.",TRUE,"Focuses on improving prosthetics for tibia defects but doesn’t cover automatic prediction or assessment of cosmetic results in plastic or cancer-related surgery, which is the main interest of the review."
