title,author,year,journal,doi,abstract,rejected_by_full-text_screening,reason_for_full-text_screening
Chemical-physical behavior of Hydroxyapatite: A modeling approach,Guerfi Z.; Kribaa O.K.; Djouama H.,2024,Journal of the Mechanical Behavior of Biomedical Materials,10.1016/j.jmbbm.2023.106229,"Hydroxyapatite (HAp) is a ceramic composed of calcium phosphate, frequently employed as a bone substitute material due to its biocompatibility and bioactivity. Over the past century, there has been substantial attention in fields such as orthopedics and plastic surgery. Remarkably, synthetic HAp exhibits properties akin to those found in natural bone and teeth. Computational theoretical chemistry focuses on numerically computing molecular electronic structures and interactions. As chemistry education evolves, it's imperative to acknowledge the increasing significance of computational tools in research. Density Functional Theory (DFT) stands out as the most widely adopted method in contemporary computational chemistry. In this study, we synthesized Hydroxyapatite (HAp) via the double decomposition method using synthetic sources. The synthesized materials underwent thorough characterization, including X-ray Diffraction (XRD), UV–visible spectroscopy, and Fourier Transform Infrared (FTIR) spectroscopy under various conditions. Additionally, we performed quantum mechanical computations on the HAp molecule using density functional theory. Our results were then compared with experimental data. Our experimental findings highlight the successful synthesis of HAp, particularly under specific temperature conditions. Moreover, the quantum chemistry calculations exhibited excellent agreement with the experimental results, especially in terms of spectroscopic characterizations. © 2023",TRUE,"Focuses on the chemical and physical traits of hydroxyapatite, not on automatic prediction or assessment of aesthetic results in plastic or cancer surgery."
A Deep Learning Approach for Assessment of Breast Aesthetic Score and Keypoint Localization,"Park, Jin Byeong and Kim, Myeongju and Park, Joseph Kyu-Hyung and Myung, Yujin",2024,,,NOT_FOUND_IN_BIB.,FALSE,
"Vascular anastomoses, hemodynamics and hemorheology: Some general thoughts and open questions",Nemeth N.,2022,Series on Biomechanics,10.7546/SB.09.2022,"Safe and well-functioning vascular anastomoses are essential in the everyday practice of vascular surgery, heart surgery, transplantation surgery as well as in reconstructive procedures, including microsurgical approaches. Regeneration of artificial vascular anastomoses, especially the maturation of fistulas and venous grafts, is strongly influenced by the hemodynamic forces driven by the flow characteristics as well. Exploring the hemorheological and hemodynamic conditions thus is inevitable to understand better the physiology and pathophysiology of the regeneration of vascular anastomoses and graft implantations, as well as in other vascular surgical interventions. In this paper main aspects and findings of experimental surgical and microsurgical models are summarized, studying artificial arterio-venous fistulas, porto-caval shunts, and various grafts using in vivo measurements, hemorheological and hemodynamic investigations, as well as special 3D flow simulation studies on ex vivo vascular segments. © 2022, Bulgarska Akademiya na Naukite. All rights reserved.",TRUE,Focuses on blood flow and vessel health instead of using automated methods to predict or assess cosmetic results in plastic or cancer surgery.
An Advanced Human Bone Tissue Culture Model for the Assessment of Implant Osteointegration In Vitro,Maglio M.; Fini M.; Sartori M.; Codispoti G.; Borsari V.; Dallari D.; Ambretti S.; Rocchi M.; Tschon M.,2024,International Journal of Molecular Sciences,10.3390/ijms25105322,"In the field of biomaterials for prosthetic reconstructive surgery, there is the lack of advanced innovative methods to investigate the potentialities of smart biomaterials before in vivo tests. Despite the complex osteointegration process being difficult to recreate in vitro, this study proposes an advanced in vitro tissue culture model of osteointegration using human bone. Cubic samples of trabecular bone were harvested, as waste material, from hip arthroplasty; inner cylindrical defects were created and assigned to the following groups: (1) empty defects (CTRneg); (2) defects implanted with a cytotoxic copper pin (CTRpos); (3) defects implanted with standard titanium pins (Ti). Tissues were dynamically cultured in mini rotating bioreactors and assessed weekly for viability and sterility. After 8 weeks, immunoenzymatic, microtomographic, histological, and histomorphometric analyses were performed. The model was able to simulate the effects of implantation of the materials, showing a drop in viability in CTR+, while Ti appears to have a trophic effect on bone. MicroCT and a histological analysis supported the results, with signs of matrix and bone deposition at the Ti implant site. Data suggest the reliability of the tested model in recreating the osteointegration process in vitro with the aim of reducing and refining in vivo preclinical models. © 2024 by the authors.",FALSE,
SERV-CT: A disparity dataset from cone-beam CT for validation of endoscopic 3D reconstruction,Edwards P.J.E.; Psychogyios D.; Speidel S.; Maier-Hein L.; Stoyanov D.,2022,Medical Image Analysis,10.1016/j.media.2021.102302,"In computer vision, reference datasets from simulation and real outdoor scenes have been highly successful in promoting algorithmic development in stereo reconstruction. Endoscopic stereo reconstruction for surgical scenes gives rise to specific problems, including the lack of clear corner features, highly specular surface properties and the presence of blood and smoke. These issues present difficulties for both stereo reconstruction itself and also for standardised dataset production. Previous datasets have been produced using computed tomography (CT) or structured light reconstruction on phantom or ex vivo models. We present a stereo-endoscopic reconstruction validation dataset based on cone-beam CT (SERV-CT). Two ex vivo small porcine full torso cadavers were placed within the view of the endoscope with both the endoscope and target anatomy visible in the CT scan. Subsequent orientation of the endoscope was manually aligned to match the stereoscopic view and benchmark disparities, depths and occlusions are calculated. The requirement of a CT scan limited the number of stereo pairs to 8 from each ex vivo sample. For the second sample an RGB surface was acquired to aid alignment of smooth, featureless surfaces. Repeated manual alignments showed an RMS disparity accuracy of around 2 pixels and a depth accuracy of about 2 mm. A simplified reference dataset is provided consisting of endoscope image pairs with corresponding calibration, disparities, depths and occlusions covering the majority of the endoscopic image and a range of tissue types, including smooth specular surfaces, as well as significant variation of depth. We assessed the performance of various stereo algorithms from online available repositories. There is a significant variation between algorithms, highlighting some of the challenges of surgical endoscopic images. The SERV-CT dataset provides an easy to use stereoscopic validation for surgical applications with smooth reference disparities and depths covering the majority of the endoscopic image. This complements existing resources well and we hope will aid the development of surgical endoscopic anatomical reconstruction algorithms. © 2021 The Authors",TRUE,"Focuses on technical validation of 3D imaging for surgery, not on predicting or assessing aesthetic results in plastic or cancer surgery, so it’s outside the review’s scope."
Cosmetic outcome assessment following breast-conserving therapy: a comparison between BCCT. core software and panel evaluation,"Haloua, Max Hendrik and Krekel, Nicole Marianna Alexandra and Jacobs, Gerrit Johannes Albertus and Zonderhuis, Barbara and Bouman, Mark-Bram and Buncamper, Marlon Eug{\`e}ne and Niessen, Franciscus Bernardus and Winters, Henri Adolf Hubert and Terwee, Caroline and Meijer, Sybren and others",2014,International journal of breast cancer,Wiley Online Library,"Breast-conserving therapy (BCT) is a standard treatment for early breast cancer. Cosmetic outcome is an important endpoint after BCT, and its assessment is often performed by a panel of experts. Recently, the BCCT.core software was developed to provide an objective and reproducible evaluation of cosmetic results. This study aimed to compare the cosmetic outcome assessment following BCT using the BCCT.core software and a panel evaluation. A total of 51 patients who underwent BCT were included. Standardized photographs were taken and evaluated by a panel of five experts and by the BCCT.core software. The agreement between the two methods was analyzed using weighted kappa statistics. The results showed a moderate agreement between the BCCT.core software and the panel evaluation (weighted kappa = 0.44). The BCCT.core software tended to rate cosmetic outcomes more conservatively compared to the panel. The study concludes that the BCCT.core software provides a reliable and objective assessment of cosmetic outcomes after BCT and can be used as a complementary tool to panel evaluation.",FALSE,
A method for assessing guide layout and error on implant accuracy,Xu L.; Tian X.; Wu J.,2024,Computers in Biology and Medicine,10.1016/j.compbiomed.2024.108824,"Functional and esthetic results require accurate implant placement. We aimed to develop a predictive method for assessing guide layout and error on implant accuracy. A mathematical model for position error analysis was constructed based on triangular mesh data. This model examines the relationship between the spatial shifts of multiple surfaces and the spatial shifts of specific points. It involves encasing these surfaces in a cuboid bounding box and expressing them in a local coordinate system. The influence of positioning surface error and layout of surgical guide were researched with a simulation test. The result shows that error in the implant site position is directly related to the error in the guide locating surface under the same layout. When the guide locating surface layout varies, as the length, width, and height of the minimum cuboid envelope increase, the maximum deviation in the implant site position decreases. © 2024 Elsevier Ltd",TRUE,"Centers on implant placement accuracy and doesn't cover automatic prediction or evaluation of aesthetic results, so it doesn't fit the review's focus on assessing aesthetics in plastic and cancer-related surgeries."
kOBCS{\copyright}: a novel software calculator program of the Objective Breast Cosmesis Scale (OBCS),"Soror, Tamer and Lancellotta, Valentina and Kov{\'a}cs, Gy{\""o}rgy and Lanzotti, Vito and Tagliaferri, Luca and Cas{\`a}, Calogero and Aristei, Cynthia and Barberini, Francesco and Mahmoud, Mohamed and Badakhshi, Harun",2020,Breast Cancer,Springer,"Objective Breast Cosmesis Scale (OBCS) is a validated tool for the objective assessment of breast cosmesis after breast-conserving surgery. However, the calculation of the OBCS score is complicated and time-consuming. We developed a novel software calculator program, kOBCS©, to facilitate the calculation of the OBCS score. The kOBCS© program was developed using Microsoft Excel and Visual Basic for Applications. The program requires input of the four parameters of the OBCS: breast retraction assessment, nipple deviation, breast contour, and scar appearance. The program automatically calculates the total OBCS score and classifies the cosmetic outcome into excellent, good, fair, or poor. We tested the program using clinical data from 50 patients who underwent breast-conserving surgery. The kOBCS© program significantly reduced the time required for calculation compared to manual calculation (mean time 12.3 vs. 45.7 seconds, p < 0.001). The program showed perfect agreement with manual calculation (intraclass correlation coefficient = 1.0). The kOBCS© program is a user-friendly and reliable tool for the objective assessment of breast cosmesis, which can facilitate clinical and research applications of the OBCS.",FALSE,
3D-Guided Face Manipulation of 2D Images for the Prediction of Post-Operative Outcome after Cranio-Maxillofacial Surgery,Andlauer R.; Wachter A.; Schaufelberger M.; Weichel F.; Kuhle R.; Freudlsperger C.; Nahm W.,2021,IEEE Transactions on Image Processing,10.1109/TIP.2021.3096081,"Cranio-maxillofacial surgery often alters the aesthetics of the face which can be a heavy burden for patients to decide whether or not to undergo surgery. Today, physicians can predict the post-operative face using surgery planning tools to support the patient's decision-making. While these planning tools allow a simulation of the post-operative face, the facial texture must usually be captured by another 3D texture scan and subsequently mapped on the simulated face. This approach often results in face predictions that do not appear realistic or lively looking and are therefore ill-suited to guide the patient's decision-making. Instead, we propose a method using a generative adversarial network to modify a facial image according to a 3D soft-tissue estimation of the post-operative face. To circumvent the lack of available data pairs between pre- and post-operative measurements we propose a semi-supervised training strategy using cycle losses that only requires paired open-source data of images and 3D surfaces of the face's shape. After training on 'in-the-wild' images we show that our model can realistically manipulate local regions of a face in a 2D image based on a modified 3D shape. We then test our model on four clinical examples where we predict the post-operative face according to a 3D soft-tissue prediction of surgery outcome, which was simulated by a surgery planning tool. As a result, we aim to demonstrate the potential of our approach to predict realistic post-operative images of faces without the need of paired clinical data, physical models, or 3D texture scans. © 2021 IEEE.",FALSE,
A novel microsurgery robot mechanism with mechanical motion scalability for intraocular and reconstructive surgery,Yang U.-J.; Kim D.; Hwang M.; Kong D.; Kim J.; Nho Y.-H.; Lee W.; Kwon D.-S.,2021,International Journal of Medical Robotics and Computer Assisted Surgery,10.1002/rcs.2240,"Background: Intraocular surgery and reconstructive surgery are challenging microsurgery procedures that require two types of motion: precise motion and larger motion. To effectively perform the requisite motion using a robot, it is necessary to develop a manipulator that can adjust the scale of motion between precise motion and less precise, yet larger motion. Aims: In this paper, we propose a novel microsurgery robot using the dual delta structure (DDS) to mechanically scale the motion to seamlessly adjust between precise and larger motion. Materials & Methods: The DDS forms a lever mechanism that enables the motion scaling at the end-effector using two delta platforms. Seamless scale adjustment enables the robot to effectively perform various surgical moves. Results: A prototype robot system was developed to validate the effectiveness of the DDS. The experiment results in various scale settings validated the scaling mechanism of the DDS. Conclusion: Through a graphical simulation and measurement experiment, the robot's precision level and attainable workspace has been confirmed adequate for intraocular and reconstructive surgery. © 2021 John Wiley & Sons Ltd.",TRUE,"Focuses on building a robot for precise movements, but doesn't cover predicting or assessing how surgeries look afterward, which is the main interest here."
