title,author,year,journal,doi,abstract,rejected_by_full-text_screening,reason_for_full-text_screening
Chemical-physical behavior of Hydroxyapatite: A modeling approach,Guerfi Z.; Kribaa O.K.; Djouama H.,2024,Journal of the Mechanical Behavior of Biomedical Materials,10.1016/j.jmbbm.2023.106229,"Hydroxyapatite (HAp) is a ceramic composed of calcium phosphate, frequently employed as a bone substitute material due to its biocompatibility and bioactivity. Over the past century, there has been substantial attention in fields such as orthopedics and plastic surgery. Remarkably, synthetic HAp exhibits properties akin to those found in natural bone and teeth. Computational theoretical chemistry focuses on numerically computing molecular electronic structures and interactions. As chemistry education evolves, it's imperative to acknowledge the increasing significance of computational tools in research. Density Functional Theory (DFT) stands out as the most widely adopted method in contemporary computational chemistry. In this study, we synthesized Hydroxyapatite (HAp) via the double decomposition method using synthetic sources. The synthesized materials underwent thorough characterization, including X-ray Diffraction (XRD), UV–visible spectroscopy, and Fourier Transform Infrared (FTIR) spectroscopy under various conditions. Additionally, we performed quantum mechanical computations on the HAp molecule using density functional theory. Our results were then compared with experimental data. Our experimental findings highlight the successful synthesis of HAp, particularly under specific temperature conditions. Moreover, the quantum chemistry calculations exhibited excellent agreement with the experimental results, especially in terms of spectroscopic characterizations. © 2023",TRUE,"Focuses on the chemical and physical traits of hydroxyapatite, not on automatic prediction or assessment of aesthetic results in plastic or cancer surgery."
"Vascular anastomoses, hemodynamics and hemorheology: Some general thoughts and open questions",Nemeth N.,2022,Series on Biomechanics,10.7546/SB.09.2022,"Safe and well-functioning vascular anastomoses are essential in the everyday practice of vascular surgery, heart surgery, transplantation surgery as well as in reconstructive procedures, including microsurgical approaches. Regeneration of artificial vascular anastomoses, especially the maturation of fistulas and venous grafts, is strongly influenced by the hemodynamic forces driven by the flow characteristics as well. Exploring the hemorheological and hemodynamic conditions thus is inevitable to understand better the physiology and pathophysiology of the regeneration of vascular anastomoses and graft implantations, as well as in other vascular surgical interventions. In this paper main aspects and findings of experimental surgical and microsurgical models are summarized, studying artificial arterio-venous fistulas, porto-caval shunts, and various grafts using in vivo measurements, hemorheological and hemodynamic investigations, as well as special 3D flow simulation studies on ex vivo vascular segments. © 2022, Bulgarska Akademiya na Naukite. All rights reserved.",TRUE,Focuses on blood flow and vessel health instead of using automated methods to predict or assess cosmetic results in plastic or cancer surgery.
SERV-CT: A disparity dataset from cone-beam CT for validation of endoscopic 3D reconstruction,Edwards P.J.E.; Psychogyios D.; Speidel S.; Maier-Hein L.; Stoyanov D.,2022,Medical Image Analysis,10.1016/j.media.2021.102302,"In computer vision, reference datasets from simulation and real outdoor scenes have been highly successful in promoting algorithmic development in stereo reconstruction. Endoscopic stereo reconstruction for surgical scenes gives rise to specific problems, including the lack of clear corner features, highly specular surface properties and the presence of blood and smoke. These issues present difficulties for both stereo reconstruction itself and also for standardised dataset production. Previous datasets have been produced using computed tomography (CT) or structured light reconstruction on phantom or ex vivo models. We present a stereo-endoscopic reconstruction validation dataset based on cone-beam CT (SERV-CT). Two ex vivo small porcine full torso cadavers were placed within the view of the endoscope with both the endoscope and target anatomy visible in the CT scan. Subsequent orientation of the endoscope was manually aligned to match the stereoscopic view and benchmark disparities, depths and occlusions are calculated. The requirement of a CT scan limited the number of stereo pairs to 8 from each ex vivo sample. For the second sample an RGB surface was acquired to aid alignment of smooth, featureless surfaces. Repeated manual alignments showed an RMS disparity accuracy of around 2 pixels and a depth accuracy of about 2 mm. A simplified reference dataset is provided consisting of endoscope image pairs with corresponding calibration, disparities, depths and occlusions covering the majority of the endoscopic image and a range of tissue types, including smooth specular surfaces, as well as significant variation of depth. We assessed the performance of various stereo algorithms from online available repositories. There is a significant variation between algorithms, highlighting some of the challenges of surgical endoscopic images. The SERV-CT dataset provides an easy to use stereoscopic validation for surgical applications with smooth reference disparities and depths covering the majority of the endoscopic image. This complements existing resources well and we hope will aid the development of surgical endoscopic anatomical reconstruction algorithms. © 2021 The Authors",TRUE,"Focuses on technical validation of 3D imaging for surgery, not on predicting or assessing aesthetic results in plastic or cancer surgery, so it’s outside the review’s scope."
A method for assessing guide layout and error on implant accuracy,Xu L.; Tian X.; Wu J.,2024,Computers in Biology and Medicine,10.1016/j.compbiomed.2024.108824,"Functional and esthetic results require accurate implant placement. We aimed to develop a predictive method for assessing guide layout and error on implant accuracy. A mathematical model for position error analysis was constructed based on triangular mesh data. This model examines the relationship between the spatial shifts of multiple surfaces and the spatial shifts of specific points. It involves encasing these surfaces in a cuboid bounding box and expressing them in a local coordinate system. The influence of positioning surface error and layout of surgical guide were researched with a simulation test. The result shows that error in the implant site position is directly related to the error in the guide locating surface under the same layout. When the guide locating surface layout varies, as the length, width, and height of the minimum cuboid envelope increase, the maximum deviation in the implant site position decreases. © 2024 Elsevier Ltd",TRUE,"Centers on implant placement accuracy and doesn't cover automatic prediction or evaluation of aesthetic results, so it doesn't fit the review's focus on assessing aesthetics in plastic and cancer-related surgeries."
A novel microsurgery robot mechanism with mechanical motion scalability for intraocular and reconstructive surgery,Yang U.-J.; Kim D.; Hwang M.; Kong D.; Kim J.; Nho Y.-H.; Lee W.; Kwon D.-S.,2021,International Journal of Medical Robotics and Computer Assisted Surgery,10.1002/rcs.2240,"Background: Intraocular surgery and reconstructive surgery are challenging microsurgery procedures that require two types of motion: precise motion and larger motion. To effectively perform the requisite motion using a robot, it is necessary to develop a manipulator that can adjust the scale of motion between precise motion and less precise, yet larger motion. Aims: In this paper, we propose a novel microsurgery robot using the dual delta structure (DDS) to mechanically scale the motion to seamlessly adjust between precise and larger motion. Materials & Methods: The DDS forms a lever mechanism that enables the motion scaling at the end-effector using two delta platforms. Seamless scale adjustment enables the robot to effectively perform various surgical moves. Results: A prototype robot system was developed to validate the effectiveness of the DDS. The experiment results in various scale settings validated the scaling mechanism of the DDS. Conclusion: Through a graphical simulation and measurement experiment, the robot's precision level and attainable workspace has been confirmed adequate for intraocular and reconstructive surgery. © 2021 John Wiley & Sons Ltd.",TRUE,"Focuses on building a robot for precise movements, but doesn't cover predicting or assessing how surgeries look afterward, which is the main interest here."
Manufacturing of customized implants for orbital fractures using 3D printing,A M.; Mohan A A.; Reddy M H.,2021,Bioprinting,10.1016/j.bprint.2020.e00118,"An orbital fracture is a traumatic injury to the bone in the eye socket. These fractures modify the orbital bone dimensions and the functioning of the intraorbital contents. In this study, a surgical method that includes positioning, aligning and fixing implants to restore orbital fractures was adapted. Notably, it is difficult to achieve an original three-dimensional orbital shape through the process of forming and cutting implants; however, this problem was solved by creating customized implants using computed tomography (CT) images of the patient. The objective of this work is to reconstruct the damaged orbital floor defects by means of a 3D printed implant and restore the orbital floor to its original shape. A case study of an orbital fracture has been included in this study. CT images were used to create a computer-aided design (CAD) model of orbital floor implants, which were designed to maintain orbital floor symmetry from right to left and vice versa. Furthermore, the designed implants were manufactured through a material extrusion process with biocompatible material. The application of the material extrusion process with biocompatible material resulted in the fabrication of implants at a minimal cost. Therefore, the customized models used in the patient's intra-operation can minimize the operational time and maximize surgical safety. © 2020 Elsevier B.V.",TRUE,"Focuses on making and using custom implants for orbital fractures without covering automatic prediction or assessing aesthetic results, which is outside the review’s scope."
Optimization of grinding parameters in robotic-assisted preparation of cracked teeth based on fracture mechanics: FEA and experiment,Sun J.; Jiang J.; Ma B.; Zhang Y.; Pan J.; Qiao D.,2025,Computer Methods and Programs in Biomedicine,10.1016/j.cmpb.2024.108485,"Background and Objectives: If left untreated, cracked teeth can lead to tooth loss, of which the incidence is 70%. Dental preparation is an effective treatment, but it is difficult to meet the clinical requirements when traditionally prepared by dentists. Grinding-based tooth preparation robot (TPR) shows promise for clinical applications to assist dentists. However, current TPR has problems with chipping and crack extension when preparing real teeth. Methods: We propose a grinding parameter optimization strategy to solve this problem, specifically including preparation depth and direction. Among them, surface morphology observation technology and thermal-mechanical coupling simulation technology are used. Through theoretical modeling, computer simulation techniques and surface morphology experimental studies, different motion parameters are compared and analyzed to derive the optimal preparation parameters. Results: One of our contributions is to control the preparation depth based on the different material removal methods, and the brittle removal methods and grinding heat during the preparation process were reduced. Another contribution is to derive the stress intensity factor (SIF) at the crack tip for different preparation directions based on multi-grit and thermal-mechanical coupling finite element model for different preparation stages. The preparation direction was directed and crack extension was minimized. Finally, the experimental system of the TPR was constructed. Based on the proposed morphology and preparation direction optimization method, the material removal method during the preparation process can be controlled in plastic removal. Crack extension was also reduced based on different stages of optimized preparation directions. Based on the guided strategy, the TPR can provide safe assisted dentists. Conclusions: In this work, the preparation parameters of the cracked preparation robot were optimized to enable it to perform the preparation of hard and brittle cracked teeth. The surface morphology met the clinical requirements. Intraoral preparation will be considered in the future to advance the robot toward clinical dental applications. © 2024 Elsevier B.V.",TRUE,"Focuses on robotic grinding for dental repairs, not on predicting or evaluating aesthetic results in plastic or cancer surgeries, so it’s outside the review’s scope."
Modeling and experimental study of the needle indentation into a brain phantom,Yakovenko A.A.; Lai Y.-X.; Goryacheva I.G.; Ju M.-S.; Dosaev M.Z.; Selyutskiy Y.D.,2021,International Journal of Non-Linear Mechanics,10.1016/j.ijnonlinmec.2021.103832,"In some surgical operations, a needle is inserted into the patient's brain to perform the necessary manipulations (for instance, a biopsy). In this context, the study of the interaction between the needle and the brain tissue is an important task. One of common ways to perform experimental study of such interaction is through the use brain phantoms. In this work, a series of experiments is performed on indentation of a biopsy needle into a phantom manufactured of the agar gel. During these experiments, the force of interaction between the needle and the phantom tissue was measured for different indentation speeds and depths. An analytical mathematical model is proposed that describes this force. The model takes into account such effects as viscoelastic and plastic properties and relaxation behavior of the material, as well as the presence of a surface film. Parameters of the model are identified based on the obtained experimental data. It is shown that the results of numerical simulation using this model are in good agreement with the experimental data. Such a model is general and can be used not only for solving problems of biomechanics. © 2021 Elsevier Ltd",TRUE,"Focuses just on biomechanical modeling of needle-tissue interaction and doesn’t cover automatic prediction or evaluation of aesthetic results in plastic or cancer surgery, so it’s outside the review’s scope."
Temperature Field Prediction of Variable Bone Milling Conditions Based on Thermal-Parameter Calibration and Finite-Element Simulation,Zhou Z.; Hu J.; Dai Y.; Zhang J.; Jiang Z.,2025,IEEE Transactions on Instrumentation and Measurement,10.1109/TIM.2025.3554280,"Bone milling is a common surgical procedure widely used in dental, orthopedic, and plastic surgeries. Bone has low thermal conductivity and high specific heat. As a result, significant heat generated during bone milling tends to accumulate in the milling area, often leading to thermal necrosis. Currently, there are no suitable sensors available to monitor the temperature during bone milling, which forces surgeons to rely on their personal experience to determine if the temperature is too high. This article presented a temperature field prediction model for robot-assisted bone milling using finite-element techniques. This model can predict the temperature distribution under various milling conditions, providing a valuable reference for surgeons. In developing this model, the thermal parameters of the cortical bone and the convective heat transfer coefficient of the environment were unknown. In order to determine these parameters, a heat conduction experiment based on a point heat source was designed. The identified parameters were then used to build the temperature prediction model. Five sets of dry milling experiments with different milling angles and depths and one set of experiments with irrigation fluid added were performed using a 4-DOF robot to verify the model. The maximum mean absolute errors (MAEs) between the predicted data and the experimental data from these six experiments were 0.409 °C, 0.458 °C, 0.514 °C, 0.601 °C, 0.561 °C, and 0.619 °C, respectively. © 1963-2012 IEEE.",TRUE,Focuses on thermal prediction in bone milling without covering automatic prediction or assessing aesthetic outcomes in plastic or cancer surgery.
Multi-center validation of machine learning model for preoperative prediction of postoperative mortality,Lee S.W.; Lee H.-C.; Suh J.; Lee K.H.; Lee H.; Seo S.; Kim T.K.; Lee S.-W.; Kim Y.-J.,2022,npj Digital Medicine,10.1038/s41746-022-00625-6,"Accurate prediction of postoperative mortality is important for not only successful postoperative patient care but also for information-based shared decision-making with patients and efficient allocation of medical resources. This study aimed to create a machine-learning prediction model for 30-day mortality after a non-cardiac surgery that adapts to the manageable amount of clinical information as input features and is validated against multi-centered rather than single-centered data. Data were collected from 454,404 patients over 18 years of age who underwent non-cardiac surgeries from four independent institutions. We performed a retrospective analysis of the retrieved data. Only 12–18 clinical variables were used for model training. Logistic regression, random forest classifier, extreme gradient boosting (XGBoost), and deep neural network methods were applied to compare the prediction performances. To reduce overfitting and create a robust model, bootstrapping and grid search with tenfold cross-validation were performed. The XGBoost method in Seoul National University Hospital (SNUH) data delivers the best performance in terms of the area under receiver operating characteristic curve (AUROC) (0.9376) and the area under the precision-recall curve (0.1593). The predictive performance was the best when the SNUH model was validated with Ewha Womans University Medical Center data (AUROC, 0.941). Preoperative albumin, prothrombin time, and age were the most important features in the model for each hospital. It is possible to create a robust artificial intelligence prediction model applicable to multiple institutions through a light predictive model using only minimal preoperative information that can be automatically extracted from each hospital. © 2022, The Author(s).",TRUE,"Focuses on predicting death after surgery, not on cosmetic or cancer-related surgery results, so it doesn’t fit here."
