title,author,year,journal,doi,abstract
A Deep Learning Approach for Assessment of Breast Aesthetic Score and Keypoint Localization,"Park, Jin Byeong and Kim, Myeongju and Park, Joseph Kyu-Hyung and Myung, Yujin",2024,,,NOT_FOUND_IN_BIB.
Cosmetic outcome assessment following breast-conserving therapy: a comparison between BCCT. core software and panel evaluation,"Haloua, Max Hendrik and Krekel, Nicole Marianna Alexandra and Jacobs, Gerrit Johannes Albertus and Zonderhuis, Barbara and Bouman, Mark-Bram and Buncamper, Marlon Eug{\`e}ne and Niessen, Franciscus Bernardus and Winters, Henri Adolf Hubert and Terwee, Caroline and Meijer, Sybren and others",2014,International journal of breast cancer,Wiley Online Library,"Breast-conserving therapy (BCT) is a standard treatment for early breast cancer. Cosmetic outcome is an important endpoint after BCT, and its assessment is often performed by a panel of experts. Recently, the BCCT.core software was developed to provide an objective and reproducible evaluation of cosmetic results. This study aimed to compare the cosmetic outcome assessment following BCT using the BCCT.core software and a panel evaluation. A total of 51 patients who underwent BCT were included. Standardized photographs were taken and evaluated by a panel of five experts and by the BCCT.core software. The agreement between the two methods was analyzed using weighted kappa statistics. The results showed a moderate agreement between the BCCT.core software and the panel evaluation (weighted kappa = 0.44). The BCCT.core software tended to rate cosmetic outcomes more conservatively compared to the panel. The study concludes that the BCCT.core software provides a reliable and objective assessment of cosmetic outcomes after BCT and can be used as a complementary tool to panel evaluation."
kOBCS{\copyright}: a novel software calculator program of the Objective Breast Cosmesis Scale (OBCS),"Soror, Tamer and Lancellotta, Valentina and Kov{\'a}cs, Gy{\""o}rgy and Lanzotti, Vito and Tagliaferri, Luca and Cas{\`a}, Calogero and Aristei, Cynthia and Barberini, Francesco and Mahmoud, Mohamed and Badakhshi, Harun",2020,Breast Cancer,Springer,"Objective Breast Cosmesis Scale (OBCS) is a validated tool for the objective assessment of breast cosmesis after breast-conserving surgery. However, the calculation of the OBCS score is complicated and time-consuming. We developed a novel software calculator program, kOBCS©, to facilitate the calculation of the OBCS score. The kOBCS© program was developed using Microsoft Excel and Visual Basic for Applications. The program requires input of the four parameters of the OBCS: breast retraction assessment, nipple deviation, breast contour, and scar appearance. The program automatically calculates the total OBCS score and classifies the cosmetic outcome into excellent, good, fair, or poor. We tested the program using clinical data from 50 patients who underwent breast-conserving surgery. The kOBCS© program significantly reduced the time required for calculation compared to manual calculation (mean time 12.3 vs. 45.7 seconds, p < 0.001). The program showed perfect agreement with manual calculation (intraclass correlation coefficient = 1.0). The kOBCS© program is a user-friendly and reliable tool for the objective assessment of breast cosmesis, which can facilitate clinical and research applications of the OBCS."
"A novel, deep Learning-Based, automatic photometric analysis software for breast aesthetic scoring","Park, Joseph Kyu-hyung and Baek, Seungchul and Heo, Chan Yeong and Jeong, Jae Hoon and Myung, Yujin",2024,Archives of Plastic Surgery,"Thieme Medical Publishers, Inc.",NOT_FOUND_IN_BIB.
Plastic surgery: An obstacle for deep face recognition?,"Rathgeb, Christian and Dogan, Didem and Stockhardt, Fabian and De Marsico, Maria and Busch, Christoph",2020,,,"Plastic surgery is a challenging problem for face recognition systems. In this paper, we investigate the impact of plastic surgery on deep face recognition. We analyze the performance of state-of-the-art deep face recognition models on a plastic surgery face dataset and compare it with their performance on a standard face dataset. Our experiments show that plastic surgery significantly degrades the performance of deep face recognition systems. We also explore the effectiveness of fine-tuning deep models on plastic surgery data and demonstrate that it can improve recognition accuracy. The findings highlight the need for developing more robust face recognition algorithms that can handle the variations introduced by plastic surgery."
An Automatic Framework for Nasal Esthetic Assessment by ResNet Convolutional Neural Network,"Ashoori, Maryam and Zoroofi, Reza A and Sadeghi, Mohammad",2024,Journal of Imaging Informatics in Medicine,Springer,"This study proposes an automatic framework for nasal esthetic assessment using a ResNet convolutional neural network (CNN). The framework aims to provide an objective and efficient evaluation of nasal esthetics by analyzing facial images. By leveraging the deep learning capabilities of ResNet, the model extracts relevant features and predicts esthetic scores that correlate with expert assessments. The proposed method demonstrates high accuracy and robustness, suggesting its potential application in clinical settings for preoperative planning and postoperative evaluation in rhinoplasty procedures."
Hugs: Human gaussian splats,"Kocabas, Muhammed and Chang, Jen-Hao Rick and Gabriel, James and Tuzel, Oncel and Ranjan, Anurag",2024,,,NOT_FOUND_IN_BIB.
Simulation of Postoperative Facial Appearances via Geometric Deep Learning for Efficient Orthognathic Surgical Planning,Ma L.; Xiao D.; Kim D.; Lian C.; Kuang T.; Liu Q.; Deng H.; Yang E.; Liebschner M.A.K.; Gateno J.; Xia J.J.; Yap P.-T.,2023,IEEE Transactions on Medical Imaging,10.1109/TMI.2022.3180078,"Orthognathic surgery corrects jaw deformities to improve aesthetics and functions. Due to the complexity of the craniomaxillofacial (CMF) anatomy, orthognathic surgery requires precise surgical planning, which involves predicting postoperative changes in facial appearance. To this end, most conventional methods involve simulation with biomechanical modeling methods, which are labor intensive and computationally expensive. Here we introduce a learning-based framework to speed up the simulation of postoperative facial appearances. Specifically, we introduce a facial shape change prediction network (FSC-Net) to learn the nonlinear mapping from bony shape changes to facial shape changes. FSC-Net is a point transform network weakly-supervised by paired preoperative and postoperative data without point-wise correspondence. In FSC-Net, a distance-guided shape loss places more emphasis on the jaw region. A local point constraint loss restricts point displacements to preserve the topology and smoothness of the surface mesh after point transformation. Evaluation results indicate that FSC-Net achieves 15× speedup with accuracy comparable to a state-of-the-art (SOTA) finite-element modeling (FEM) method."
Preoperative computer simulation in rhinoplasty using previous postoperative images,"Bashiri-Bawil, Mahdi and Rahavi-Ezabadi, Sara and Sadeghi, Mohammad and Zoroofi, Reza A and Amali, Amin",2020,Facial Plastic Surgery \& Aesthetic Medicine,"Mary Ann Liebert, Inc.","Preoperative computer simulation is a useful tool for rhinoplasty; however, it is difficult to create a simulation that reflects the patient’s wishes and the surgeon’s plan. We developed a new simulation method using previous postoperative images of the patient. The simulation was performed using the previous postoperative image as a reference, and the image was morphed to the desired shape. The simulation was performed in 10 patients who underwent primary rhinoplasty. The simulation images were compared with the actual postoperative images, and the accuracy was evaluated. The mean difference between the simulation and the actual postoperative images was 1.2 ± 0.4 mm. The patients and surgeons were satisfied with the simulation images. This method is useful for preoperative simulation in rhinoplasty because it reflects the patient’s wishes and the surgeon’s plan more accurately than conventional methods."
3D-Guided Face Manipulation of 2D Images for the Prediction of Post-Operative Outcome after Cranio-Maxillofacial Surgery,Andlauer R.; Wachter A.; Schaufelberger M.; Weichel F.; Kuhle R.; Freudlsperger C.; Nahm W.,2021,IEEE Transactions on Image Processing,10.1109/TIP.2021.3096081,"Cranio-maxillofacial surgery often alters the aesthetics of the face which can be a heavy burden for patients to decide whether or not to undergo surgery. Today, physicians can predict the post-operative face using surgery planning tools to support the patient's decision-making. While these planning tools allow a simulation of the post-operative face, the facial texture must usually be captured by another 3D texture scan and subsequently mapped on the simulated face. This approach often results in face predictions that do not appear realistic or lively looking and are therefore ill-suited to guide the patient's decision-making. Instead, we propose a method using a generative adversarial network to modify a facial image according to a 3D soft-tissue estimation of the post-operative face. To circumvent the lack of available data pairs between pre- and post-operative measurements we propose a semi-supervised training strategy using cycle losses that only requires paired open-source data of images and 3D surfaces of the face's shape. After training on 'in-the-wild' images we show that our model can realistically manipulate local regions of a face in a 2D image based on a modified 3D shape. We then test our model on four clinical examples where we predict the post-operative face according to a 3D soft-tissue prediction of surgery outcome, which was simulated by a surgery planning tool. As a result, we aim to demonstrate the potential of our approach to predict realistic post-operative images of faces without the need of paired clinical data, physical models, or 3D texture scans. © 2021 IEEE."
Subjective scar assessment scales in orthopaedic surgery and determinants of patient satisfaction: a systematic review of the literature,"Lastoria, Diego A Abelleyra and Benny, Clerin K and Hing, Caroline B",2023,Chinese Journal of Traumatology,Elsevier,"Background: Scars are an inevitable consequence of surgery and can have a significant impact on patients' quality of life. Subjective scar assessment scales are commonly used in orthopaedic surgery to evaluate scar appearance and patient satisfaction. This systematic review aims to summarize the available subjective scar assessment scales used in orthopaedic surgery and identify determinants of patient satisfaction with surgical scars.  Methods: A comprehensive literature search was conducted in multiple databases to identify studies that utilized subjective scar assessment scales in orthopaedic surgery and reported on factors influencing patient satisfaction. Data on the types of scales used, their psychometric properties, and determinants of satisfaction were extracted and analyzed.  Results: Several subjective scar assessment scales were identified, including the Patient and Observer Scar Assessment Scale (POSAS), Vancouver Scar Scale (VSS), and others. These scales vary in their focus on scar characteristics such as color, texture, and thickness, as well as patient-reported outcomes. Determinants of patient satisfaction included scar visibility, location, symptoms (e.g., pain, itching), and psychological impact. The POSAS was frequently used and demonstrated good reliability and validity.  Conclusions: Subjective scar assessment scales are valuable tools in orthopaedic surgery for evaluating scar outcomes and patient satisfaction. Understanding the determinants of satisfaction can guide surgical techniques and postoperative care to improve patient-centered outcomes. Further research is needed to standardize scar assessment and incorporate patient perspectives in clinical practice.  Keywords: Scar assessment, Orthopaedic surgery, Patient satisfaction, Subjective scales, Systematic review"
Three-dimensional analysis of nasal symmetry following primary correction of unilateral cleft lip nasal deformity,"Linden, Olivia E and Taylor, Helena O and Vasudavan, Sivabalan and Byrne, Margaret E and Deutsch, Curtis K and Mulliken, John B and Sullivan, Stephen R",2017,The Cleft Palate-Craniofacial Journal,"SAGE Publications Sage CA: Los Angeles, CA","Objective: To evaluate nasal symmetry following primary correction of unilateral cleft lip nasal deformity using three-dimensional (3D) imaging. Design: Prospective cohort study. Setting: Tertiary care craniofacial center. Patients: Thirty patients with unilateral cleft lip nasal deformity who underwent primary nasal correction at the time of lip repair. Intervention: Primary nasal correction performed concurrently with cleft lip repair. Main Outcome Measures: 3D nasal surface imaging was performed preoperatively and at 1 year postoperatively. Nasal symmetry was assessed by comparing nasal surface area, nasal projection, and nostril dimensions between the cleft and noncleft sides. Results: At 1 year postoperatively, significant improvement in nasal symmetry was observed. The nasal surface area difference between the cleft and noncleft sides decreased from 15.2% preoperatively to 5.8% postoperatively (p < 0.001). Nasal projection and nostril dimensions also showed significant improvement, with no statistically significant difference between sides at 1 year. Conclusions: Primary nasal correction at the time of unilateral cleft lip repair results in significant improvement in nasal symmetry as objectively measured by 3D imaging. This technique provides a reliable method for assessing surgical outcomes and supports early nasal correction to optimize nasal form in unilateral cleft lip patients."
Deep learning for biomechanical modeling of facial tissue deformation in orthognathic surgical planning,"Lampen, Nathan and Kim, Daeseung and Fang, Xi and Xu, Xuanang and Kuang, Tianshu and Deng, Han and Barber, Joshua and Gateno, Jamie and Xia, James and Yan, Pingkun",2022,International Journal of Computer Assisted Radiology and Surgery,,"Purpose Biomechanical modeling of facial tissue deformation is a key component of computer-assisted orthognathic surgical planning. Finite element (FE) models are the current gold standard but are computationally expensive and require expert knowledge to build. Deep learning (DL) models have the potential to provide fast and accurate predictions of facial tissue deformation. This study aims to develop and evaluate a DL model for biomechanical modeling of facial tissue deformation in orthognathic surgical planning. Methods A DL model based on a 3D convolutional neural network (CNN) was developed to predict facial tissue deformation from bone displacement inputs. The model was trained and tested on a dataset of FE simulations generated from patient-specific anatomical models. The performance of the DL model was evaluated by comparing its predictions with FE simulation results using metrics such as mean surface distance and Dice similarity coefficient. Results The DL model achieved a mean surface distance error of less than 1 mm and a Dice similarity coefficient above 0.9, demonstrating high accuracy in predicting facial tissue deformation. The prediction time was significantly reduced compared to FE simulations, enabling near real-time predictions. Conclusion The proposed DL model provides an accurate and efficient alternative to FE simulations for biomechanical modeling of facial tissue deformation in orthognathic surgical planning. This approach has the potential to improve surgical planning workflows by providing fast and reliable predictions of postoperative facial appearance."
"A novel computer system for the evaluation of nasolabial morphology, symmetry and aesthetics after cleft lip and palate treatment. Part 1: General concept and validation","Pietruski, Piotr and Majak, Marcin and Debski, Tomasz and Antoszewski, Boguslaw",2017,Journal of Cranio-Maxillofacial Surgery,Elsevier,"A novel computer system for the evaluation of nasolabial morphology, symmetry and aesthetics after cleft lip and palate treatment. Part 1: General concept and validation  Abstract: The assessment of nasolabial morphology, symmetry and aesthetics after cleft lip and palate (CLP) treatment is crucial for evaluating surgical outcomes and planning further interventions. Traditional methods rely heavily on subjective clinical judgment, which can lead to variability and inconsistency. This study presents a novel computer system designed to provide objective, reproducible, and quantitative analysis of nasolabial features in patients treated for CLP. The system integrates three-dimensional imaging and advanced morphometric algorithms to assess facial morphology and symmetry comprehensively. Validation was performed using a cohort of CLP patients and control subjects, demonstrating high accuracy and reliability compared to expert clinical evaluations. This approach offers a promising tool for standardized assessment in both clinical practice and research, facilitating improved treatment planning and outcome monitoring in CLP care."
Correspondence attention for facial appearance simulation,Xi Fang and Daeseung Kim and Xuanang Xu and Tianshu Kuang and Nathan Lampen and Jungwook Lee and Hannah H. Deng and Michael A.K. Liebschner and James J. Xia and Jaime Gateno and Pingkun Yan,2024,Medical Image Analysis,,"Facial appearance simulation is a fundamental task in computer vision and graphics, aiming to generate realistic and controllable facial images. Traditional methods often struggle to capture fine-grained details and complex correspondences between facial regions. In this paper, we propose a novel correspondence attention mechanism that effectively models the spatial relationships and appearance variations across facial features. Our approach leverages attention to establish dense correspondences, enabling high-fidelity facial appearance synthesis with improved detail preservation and expression transfer. Extensive experiments demonstrate that our method outperforms existing techniques in both qualitative and quantitative evaluations, offering a powerful tool for applications such as facial reenactment, animation, and virtual avatar creation."
Nerf: Representing scenes as neural radiance fields for view synthesis,"Mildenhall, Ben and Srinivasan, Pratul P and Tancik, Matthew and Barron, Jonathan T and Ramamoorthi, Ravi and Ng, Ren",2021,Communications of the ACM,"ACM New York, NY, USA","We present a method that represents complex 3D scenes as continuous 5D neural radiance fields, which are functions that output volume density and view-dependent emitted radiance at any spatial location and viewing direction. Our approach, called Neural Radiance Fields (NeRF), optimizes a fully connected deep network to represent the scene by minimizing the error between the rendered views and the input images. This representation enables photorealistic novel view synthesis of complex scenes with intricate geometry and view-dependent effects, outperforming prior state-of-the-art methods. We demonstrate the effectiveness of NeRF on challenging real-world scenes and synthetic datasets, showing its ability to synthesize novel views with high fidelity and fine detail."
GOMPS: global attention-based ophthalmic image measurement and postoperative appearance prediction system,"Huang, Xingru and Li, Zhi and Lou, Lixia and Dan, Ruilong and Chen, Lingxiao and Zeng, Guodong and Jia, Gangyong and Chen, Xiaodiao and Jin, Qun and Ye, Juan and others",2023,Expert Systems with Applications,Elsevier,"With the rapid development of ophthalmic surgery, the demand for accurate ophthalmic image measurement and postoperative appearance prediction has increased significantly. In this paper, we propose GOMPS, a global attention-based ophthalmic image measurement and postoperative appearance prediction system. GOMPS integrates a global attention mechanism to effectively capture the spatial dependencies in ophthalmic images, enhancing the accuracy of measurement and prediction tasks. The system employs a novel deep learning framework that combines convolutional neural networks with global attention modules to analyze preoperative images and predict postoperative outcomes. Experimental results on multiple ophthalmic datasets demonstrate that GOMPS outperforms existing methods in both measurement precision and appearance prediction accuracy, providing a valuable tool for clinicians in surgical planning and patient consultation."
Regularized ordinal regression and the ordinalNet R package,"Wurm, Michael J and Rathouz, Paul J and Hanlon, Bret M",2021,Journal of Statistical Software,,"Regularized regression methods such as the lasso and elastic net have become popular tools for high-dimensional data analysis. While these methods are well developed for continuous and binary outcomes, there has been less work on regularized regression for ordinal outcomes. We present a coordinate descent algorithm for fitting a family of ordinal regression models with elastic net penalties, including the proportional odds model, the nonparallel cumulative logit model, and the continuation ratio model. We implement this algorithm in the R package ordinalNet, which provides functions for fitting these models, selecting tuning parameters by cross-validation, and making predictions. We illustrate the use of ordinalNet with examples and simulations, demonstrating its utility for high-dimensional ordinal regression problems."
Evaluation of aesthetic outcomes of mandibular reconstruction using artificial intelligence,"Hidaka, Takeaki and Miyamoto, Shimpei and Furuse, Kiichi and Fukunaga, Yutaka and Oshima, Azusa and Matsuura, Kazuto and Higashino, Takuya",2024,Head \& Neck,Wiley Online Library,NOT_FOUND_IN_BIB.
Development of a new patient-reported outcome measure for breast surgery: the BREAST-Q,"Pusic, Andrea L and Klassen, Anne F and Scott, Amie M and Klok, Jennifer A and Cordeiro, Peter G and Cano, Stefan J",2009,Plastic and reconstructive surgery,LWW,"BACKGROUND: Patient-reported outcome measures (PROMs) are essential for evaluating the effectiveness of breast surgery from the patient's perspective. The BREAST-Q is a new PROM developed to assess outcomes in breast surgery patients, including satisfaction with breasts, psychosocial, sexual, and physical well-being, and satisfaction with care. METHODS: The BREAST-Q was developed using qualitative interviews with patients, expert input, and rigorous psychometric methods. The instrument was field-tested with a large sample of breast surgery patients, and psychometric analyses were conducted to evaluate reliability, validity, and responsiveness. RESULTS: The BREAST-Q demonstrated excellent internal consistency, test-retest reliability, and construct validity. It was sensitive to clinical changes and able to discriminate between different patient groups. CONCLUSIONS: The BREAST-Q is a reliable and valid PROM that can be used to assess patient outcomes in breast surgery, facilitating patient-centered care and comparative effectiveness research."
DeltaFace: fully automatic 3D facial cosmetic surgery simulation,"Chanchua, Adawat and Chentanez, Nuttapong",2021,,,"This paper presents DeltaFace, a fully automatic 3D facial cosmetic surgery simulation system. DeltaFace is designed to assist surgeons and patients in visualizing the potential outcomes of cosmetic facial surgeries. The system integrates advanced 3D face reconstruction techniques with a novel deformation model that simulates surgical modifications realistically. By leveraging deep learning and geometric modeling, DeltaFace can generate personalized and accurate 3D facial models from a single input image and simulate various cosmetic procedures automatically. Experimental results demonstrate the effectiveness and efficiency of DeltaFace in producing high-quality simulations that can enhance preoperative planning and patient communication."
Usefulness of mirror image processing software for creating images of expected appearance after blepharoptosis surgery,"Mawatari, Yuki and Kawaji, Takahiro and Kakizaki, Hirohiko and Vaidya, Aric and Takahashi, Yasuhiro",2021,International Ophthalmology,Springer,Purpose To evaluate the usefulness of mirror image processing software for creating images of expected appearance after blepharoptosis surgery. Methods This retrospective study included 35 patients who underwent blepharoptosis surgery. Preoperative photographs were processed using mirror image software to create images simulating the expected postoperative appearance by mirroring the contralateral eyelid. The simulated images were compared with actual postoperative photographs taken 3 months after surgery. The degree of agreement between simulated and actual postoperative images was assessed using subjective evaluation by patients and surgeons and objective measurements of eyelid parameters. Results The simulated images closely resembled the actual postoperative appearance in most cases. Both patients and surgeons reported high satisfaction with the accuracy of the simulated images. Objective measurements showed no significant differences between simulated and actual postoperative eyelid parameters. Conclusions Mirror image processing software is useful for creating images that simulate the expected postoperative appearance after blepharoptosis surgery. This tool can aid in preoperative counseling and help manage patient expectations.
Objective and Interpretable Breast Cosmesis Evaluation with Attention Guided Denoising Diffusion Anomaly Detection Model,"Park, Sangjoon and Kim, Yong Bae and Chang, Jee Suk and Choi, Seo Hee and Chung, Hyungjin and Lee, Ik Jae and Byun, Hwa Kyung",2024,"International Journal of Radiation Oncology, Biology, Physics",Elsevier,NOT_FOUND_IN_BIB.
