title,author,year,journal,doi,abstract,rejected_by_qualitive_screening,reason_for_qualitive_screening
A Deep Learning Approach for Assessment of Breast Aesthetic Score and Keypoint Localization,"Park, Jin Byeong and Kim, Myeongju and Park, Joseph Kyu-Hyung and Myung, Yujin",2024,,,NOT_FOUND_IN_BIB.,FALSE,
An Advanced Human Bone Tissue Culture Model for the Assessment of Implant Osteointegration In Vitro,Maglio M.; Fini M.; Sartori M.; Codispoti G.; Borsari V.; Dallari D.; Ambretti S.; Rocchi M.; Tschon M.,2024,International Journal of Molecular Sciences,10.3390/ijms25105322,"In the field of biomaterials for prosthetic reconstructive surgery, there is the lack of advanced innovative methods to investigate the potentialities of smart biomaterials before in vivo tests. Despite the complex osteointegration process being difficult to recreate in vitro, this study proposes an advanced in vitro tissue culture model of osteointegration using human bone. Cubic samples of trabecular bone were harvested, as waste material, from hip arthroplasty; inner cylindrical defects were created and assigned to the following groups: (1) empty defects (CTRneg); (2) defects implanted with a cytotoxic copper pin (CTRpos); (3) defects implanted with standard titanium pins (Ti). Tissues were dynamically cultured in mini rotating bioreactors and assessed weekly for viability and sterility. After 8 weeks, immunoenzymatic, microtomographic, histological, and histomorphometric analyses were performed. The model was able to simulate the effects of implantation of the materials, showing a drop in viability in CTR+, while Ti appears to have a trophic effect on bone. MicroCT and a histological analysis supported the results, with signs of matrix and bone deposition at the Ti implant site. Data suggest the reliability of the tested model in recreating the osteointegration process in vitro with the aim of reducing and refining in vivo preclinical models. © 2024 by the authors.",TRUE,"Focuses on bone implant modeling but doesn’t cover automated prediction or assessment of aesthetic results in plastic or cancer surgery, so it doesn’t fit the review’s scope."
Cosmetic outcome assessment following breast-conserving therapy: a comparison between BCCT. core software and panel evaluation,"Haloua, Max Hendrik and Krekel, Nicole Marianna Alexandra and Jacobs, Gerrit Johannes Albertus and Zonderhuis, Barbara and Bouman, Mark-Bram and Buncamper, Marlon Eug{\`e}ne and Niessen, Franciscus Bernardus and Winters, Henri Adolf Hubert and Terwee, Caroline and Meijer, Sybren and others",2014,International journal of breast cancer,Wiley Online Library,"Breast-conserving therapy (BCT) is a standard treatment for early breast cancer. Cosmetic outcome is an important endpoint after BCT, and its assessment is often performed by a panel of experts. Recently, the BCCT.core software was developed to provide an objective and reproducible evaluation of cosmetic results. This study aimed to compare the cosmetic outcome assessment following BCT using the BCCT.core software and a panel evaluation. A total of 51 patients who underwent BCT were included. Standardized photographs were taken and evaluated by a panel of five experts and by the BCCT.core software. The agreement between the two methods was analyzed using weighted kappa statistics. The results showed a moderate agreement between the BCCT.core software and the panel evaluation (weighted kappa = 0.44). The BCCT.core software tended to rate cosmetic outcomes more conservatively compared to the panel. The study concludes that the BCCT.core software provides a reliable and objective assessment of cosmetic outcomes after BCT and can be used as a complementary tool to panel evaluation.",FALSE,
kOBCS{\copyright}: a novel software calculator program of the Objective Breast Cosmesis Scale (OBCS),"Soror, Tamer and Lancellotta, Valentina and Kov{\'a}cs, Gy{\""o}rgy and Lanzotti, Vito and Tagliaferri, Luca and Cas{\`a}, Calogero and Aristei, Cynthia and Barberini, Francesco and Mahmoud, Mohamed and Badakhshi, Harun",2020,Breast Cancer,Springer,"Objective Breast Cosmesis Scale (OBCS) is a validated tool for the objective assessment of breast cosmesis after breast-conserving surgery. However, the calculation of the OBCS score is complicated and time-consuming. We developed a novel software calculator program, kOBCS©, to facilitate the calculation of the OBCS score. The kOBCS© program was developed using Microsoft Excel and Visual Basic for Applications. The program requires input of the four parameters of the OBCS: breast retraction assessment, nipple deviation, breast contour, and scar appearance. The program automatically calculates the total OBCS score and classifies the cosmetic outcome into excellent, good, fair, or poor. We tested the program using clinical data from 50 patients who underwent breast-conserving surgery. The kOBCS© program significantly reduced the time required for calculation compared to manual calculation (mean time 12.3 vs. 45.7 seconds, p < 0.001). The program showed perfect agreement with manual calculation (intraclass correlation coefficient = 1.0). The kOBCS© program is a user-friendly and reliable tool for the objective assessment of breast cosmesis, which can facilitate clinical and research applications of the OBCS.",FALSE,
A novel three dimensional-printed biomechanically evaluated patient-specific sacral implant in spinopelvic reconstruction after total en bloc sacrectomy,Lv Z.; Li J.; Yang Z.; Li X.; Yang Q.; Li Z.,2023,Frontiers in Bioengineering and Biotechnology,10.3389/fbioe.2023.1153801,"Background: Reconstruction after a total sacrectomy is a challenge due to the special anatomical and biomechanical factors. Conventional techniques of spinal-pelvic reconstruction do not reconstruct satisfactorily. We describe a novel three-dimensional-printed patient-specific sacral implant in spinopelvic reconstruction after total en bloc sacrectomy. Methods: We performed a retrospective cohort study including 12 patients with primary malignant sacral tumors, including 5 men and 7 women with a mean age of 58.25 years (range 20–66 years), undergoing total en bloc sacrectomy with 3D printed implant reconstruction from 2016 to 2021. There were 7 cases of chordoma, 3 cases of osteosarcoma, 1 case of chondrosarcoma and 1 case of undifferentiated pleomorphic sarcoma. We use CAD technology to determine surgical resection boundaries, design cutting guides, and individualized prostheses, and perform surgical simulations before surgery. The implant design was biomechanically evaluated by finite element analysis. Operative data, oncological and functional outcomes, complications, and implant osseointegration status of 12 consecutive patients were reviewed. Results: The implants were implanted successfully in 12 cases without death or severe complications during the perioperative period. Resection margins were wide in 11 patients and marginal in one patient. The average blood loss was 3875 mL (range, 2000–5,000 mL). The average surgical time was 520 min (range, 380–735 min). The mean follow-up was 38.5 months. Nine patients were alive with no evidence of disease, two patients died due to pulmonary metastases, and one patient survived with disease due to local recurrence. Overall survival was 83.33% at 24 months. The Mean VAS was 1.5 (range, 0–2). The mean MSTS score was 21 (range, 17–24). Wound complications occurred in 2 cases. A deep infection occurred in one patient and the implant was removed. No implant mechanical failure was identified. Satisfactory osseointegration was found in all patients, with a mean fusion time of 5 months (range 3–6 months). Conclusion: The 3D-printed custom sacral prosthesis has been effective in reconstructing spinal-pelvic stability after total en bloc sacrectomy with satisfactory clinical outcomes, excellent osseointegration, and excellent durability. Copyright © 2023 Lv, Li, Yang, Li, Yang and Li.",TRUE,"Focuses on biomechanical and clinical results of a 3D-printed sacral implant but doesn’t cover automatic prediction or assessment of aesthetic outcomes, which is the main interest here."
Simple incision and suture modeling on fixed structured grids,Holm M.T.; Haugaard A.M.; Poulios K.; Aage N.,2024,Journal of the Mechanical Behavior of Biomedical Materials,10.1016/j.jmbbm.2024.106692,"Simple incision and suture modeling on fixed structured grids  This paper presents a simple yet versatile approach to simulate skin incisions and suturing using nonlinear finite element analysis on a fixed structured grid with a spring-based suture model. Incisions and wounds are introduced by element removal and the sutures are discretely modeled by applying linear constraint relations pairwise to groups of nodes. Two numerical examples utilize the closing of an elliptical wound to study the influence of the number of sutures and their location, and two test cases use the Z-plasty transposition flap technique to investigate the versatility of the proposed method and for comparison with state-of-the-art results. The results indicate that the presented method is able to recreate literature results to an acceptable level of accuracy. Further, the method proves versatile due to the ability to freely introduce incisions and wounds onto the fixed grid modeling domain without remeshing. Lastly, the two main advantages of the discrete suture representation are the ability to capture local stress concentrations near the sutures and the full freedom in placing the sutures. © 2024 The Author(s)",TRUE,"Focuses on biomechanical modeling without covering automatic prediction or evaluation of aesthetic results, so it doesn’t fit the review’s topic on assessing aesthetic outcomes in plastic and cancer surgeries."
"A novel, deep Learning-Based, automatic photometric analysis software for breast aesthetic scoring","Park, Joseph Kyu-hyung and Baek, Seungchul and Heo, Chan Yeong and Jeong, Jae Hoon and Myung, Yujin",2024,Archives of Plastic Surgery,"Thieme Medical Publishers, Inc.",NOT_FOUND_IN_BIB.,FALSE,
Plastic surgery: An obstacle for deep face recognition?,"Rathgeb, Christian and Dogan, Didem and Stockhardt, Fabian and De Marsico, Maria and Busch, Christoph",2020,,,"Plastic surgery is a challenging problem for face recognition systems. In this paper, we investigate the impact of plastic surgery on deep face recognition. We analyze the performance of state-of-the-art deep face recognition models on a plastic surgery face dataset and compare it with their performance on a standard face dataset. Our experiments show that plastic surgery significantly degrades the performance of deep face recognition systems. We also explore the effectiveness of fine-tuning deep models on plastic surgery data and demonstrate that it can improve recognition accuracy. The findings highlight the need for developing more robust face recognition algorithms that can handle the variations introduced by plastic surgery.",FALSE,
3D-Guided Face Manipulation of 2D Images for the Prediction of Post-Operative Outcome after Cranio-Maxillofacial Surgery,Andlauer R.; Wachter A.; Schaufelberger M.; Weichel F.; Kuhle R.; Freudlsperger C.; Nahm W.,2021,IEEE Transactions on Image Processing,10.1109/TIP.2021.3096081,"Cranio-maxillofacial surgery often alters the aesthetics of the face which can be a heavy burden for patients to decide whether or not to undergo surgery. Today, physicians can predict the post-operative face using surgery planning tools to support the patient's decision-making. While these planning tools allow a simulation of the post-operative face, the facial texture must usually be captured by another 3D texture scan and subsequently mapped on the simulated face. This approach often results in face predictions that do not appear realistic or lively looking and are therefore ill-suited to guide the patient's decision-making. Instead, we propose a method using a generative adversarial network to modify a facial image according to a 3D soft-tissue estimation of the post-operative face. To circumvent the lack of available data pairs between pre- and post-operative measurements we propose a semi-supervised training strategy using cycle losses that only requires paired open-source data of images and 3D surfaces of the face's shape. After training on 'in-the-wild' images we show that our model can realistically manipulate local regions of a face in a 2D image based on a modified 3D shape. We then test our model on four clinical examples where we predict the post-operative face according to a 3D soft-tissue prediction of surgery outcome, which was simulated by a surgery planning tool. As a result, we aim to demonstrate the potential of our approach to predict realistic post-operative images of faces without the need of paired clinical data, physical models, or 3D texture scans. © 2021 IEEE.",FALSE,
An Automatic Framework for Nasal Esthetic Assessment by ResNet Convolutional Neural Network,"Ashoori, Maryam and Zoroofi, Reza A and Sadeghi, Mohammad",2024,Journal of Imaging Informatics in Medicine,Springer,"This study proposes an automatic framework for nasal esthetic assessment using a ResNet convolutional neural network (CNN). The framework aims to provide an objective and efficient evaluation of nasal esthetics by analyzing facial images. By leveraging the deep learning capabilities of ResNet, the model extracts relevant features and predicts esthetic scores that correlate with expert assessments. The proposed method demonstrates high accuracy and robustness, suggesting its potential application in clinical settings for preoperative planning and postoperative evaluation in rhinoplasty procedures.",FALSE,
