title,author,year,journal,doi,abstract,rejected_by_qualitive_screening,reason_for_qualitive_screening
An Advanced Human Bone Tissue Culture Model for the Assessment of Implant Osteointegration In Vitro,Maglio M.; Fini M.; Sartori M.; Codispoti G.; Borsari V.; Dallari D.; Ambretti S.; Rocchi M.; Tschon M.,2024,International Journal of Molecular Sciences,10.3390/ijms25105322,"In the field of biomaterials for prosthetic reconstructive surgery, there is the lack of advanced innovative methods to investigate the potentialities of smart biomaterials before in vivo tests. Despite the complex osteointegration process being difficult to recreate in vitro, this study proposes an advanced in vitro tissue culture model of osteointegration using human bone. Cubic samples of trabecular bone were harvested, as waste material, from hip arthroplasty; inner cylindrical defects were created and assigned to the following groups: (1) empty defects (CTRneg); (2) defects implanted with a cytotoxic copper pin (CTRpos); (3) defects implanted with standard titanium pins (Ti). Tissues were dynamically cultured in mini rotating bioreactors and assessed weekly for viability and sterility. After 8 weeks, immunoenzymatic, microtomographic, histological, and histomorphometric analyses were performed. The model was able to simulate the effects of implantation of the materials, showing a drop in viability in CTR+, while Ti appears to have a trophic effect on bone. MicroCT and a histological analysis supported the results, with signs of matrix and bone deposition at the Ti implant site. Data suggest the reliability of the tested model in recreating the osteointegration process in vitro with the aim of reducing and refining in vivo preclinical models. © 2024 by the authors.",TRUE,"Focuses on bone implant modeling but doesn’t cover automated prediction or assessment of aesthetic results in plastic or cancer surgery, so it doesn’t fit the review’s scope."
A novel three dimensional-printed biomechanically evaluated patient-specific sacral implant in spinopelvic reconstruction after total en bloc sacrectomy,Lv Z.; Li J.; Yang Z.; Li X.; Yang Q.; Li Z.,2023,Frontiers in Bioengineering and Biotechnology,10.3389/fbioe.2023.1153801,"Background: Reconstruction after a total sacrectomy is a challenge due to the special anatomical and biomechanical factors. Conventional techniques of spinal-pelvic reconstruction do not reconstruct satisfactorily. We describe a novel three-dimensional-printed patient-specific sacral implant in spinopelvic reconstruction after total en bloc sacrectomy. Methods: We performed a retrospective cohort study including 12 patients with primary malignant sacral tumors, including 5 men and 7 women with a mean age of 58.25 years (range 20–66 years), undergoing total en bloc sacrectomy with 3D printed implant reconstruction from 2016 to 2021. There were 7 cases of chordoma, 3 cases of osteosarcoma, 1 case of chondrosarcoma and 1 case of undifferentiated pleomorphic sarcoma. We use CAD technology to determine surgical resection boundaries, design cutting guides, and individualized prostheses, and perform surgical simulations before surgery. The implant design was biomechanically evaluated by finite element analysis. Operative data, oncological and functional outcomes, complications, and implant osseointegration status of 12 consecutive patients were reviewed. Results: The implants were implanted successfully in 12 cases without death or severe complications during the perioperative period. Resection margins were wide in 11 patients and marginal in one patient. The average blood loss was 3875 mL (range, 2000–5,000 mL). The average surgical time was 520 min (range, 380–735 min). The mean follow-up was 38.5 months. Nine patients were alive with no evidence of disease, two patients died due to pulmonary metastases, and one patient survived with disease due to local recurrence. Overall survival was 83.33% at 24 months. The Mean VAS was 1.5 (range, 0–2). The mean MSTS score was 21 (range, 17–24). Wound complications occurred in 2 cases. A deep infection occurred in one patient and the implant was removed. No implant mechanical failure was identified. Satisfactory osseointegration was found in all patients, with a mean fusion time of 5 months (range 3–6 months). Conclusion: The 3D-printed custom sacral prosthesis has been effective in reconstructing spinal-pelvic stability after total en bloc sacrectomy with satisfactory clinical outcomes, excellent osseointegration, and excellent durability. Copyright © 2023 Lv, Li, Yang, Li, Yang and Li.",TRUE,"Focuses on biomechanical and clinical results of a 3D-printed sacral implant but doesn’t cover automatic prediction or assessment of aesthetic outcomes, which is the main interest here."
Simple incision and suture modeling on fixed structured grids,Holm M.T.; Haugaard A.M.; Poulios K.; Aage N.,2024,Journal of the Mechanical Behavior of Biomedical Materials,10.1016/j.jmbbm.2024.106692,"Simple incision and suture modeling on fixed structured grids  This paper presents a simple yet versatile approach to simulate skin incisions and suturing using nonlinear finite element analysis on a fixed structured grid with a spring-based suture model. Incisions and wounds are introduced by element removal and the sutures are discretely modeled by applying linear constraint relations pairwise to groups of nodes. Two numerical examples utilize the closing of an elliptical wound to study the influence of the number of sutures and their location, and two test cases use the Z-plasty transposition flap technique to investigate the versatility of the proposed method and for comparison with state-of-the-art results. The results indicate that the presented method is able to recreate literature results to an acceptable level of accuracy. Further, the method proves versatile due to the ability to freely introduce incisions and wounds onto the fixed grid modeling domain without remeshing. Lastly, the two main advantages of the discrete suture representation are the ability to capture local stress concentrations near the sutures and the full freedom in placing the sutures. © 2024 The Author(s)",TRUE,"Focuses on biomechanical modeling without covering automatic prediction or evaluation of aesthetic results, so it doesn’t fit the review’s topic on assessing aesthetic outcomes in plastic and cancer surgeries."
Effect of mesh anchoring technique in uterine prolapse repair surgery: A finite element analysis,Silva M.E.T.; Bessa J.N.M.; Parente M.P.L.; Mascarenhas T.; Natal Jorge R.M.; Fernandes A.A.,2021,Journal of Biomechanics,10.1016/j.jbiomech.2021.110649,"The female pelvic cavity involves muscles, ligaments, endopelvic fasciae and multiple organs where different pathologies may occur, namely the pelvic organ prolapse (POP). The synthetic implants are used for the reconstructive surgery of POP, but severe complications associated with their use have been reported, mainly related to their mechanical properties (e.g., implant stiffness) and microstructure. In this study, we mimicked a transvaginal reconstructive surgery to repair the apical ligaments (uterosacral ligaments (USLs) and cardinal ligaments (CLs)), by modeling, their impairment (90% and 50%) and/or total rupture. The implants to reinforce/replace these ligaments were built based on literature specifications and their mechanical properties were obtained through uniaxial tensile tests. The main aim of this study was to simulate the effect of mesh anchoring technique (simple stich and continuous stitch), and compare the displacement magnitude of the pelvic tissues, during Valsalva maneuver. The absence/presence of the synthetic implant was simulated when total rupture of the CLs and USLs occurs, causing a variation of the vaginal displacement (9% for the CLs and 27% for the USLs). Additionally, the simulations showed that there was a variation of the supero-inferior displacement of the vaginal wall between different anchoring techniques (simple stich and continuous stitch) being approximately of 10% for the simulation USLs and CLs implant. The computational simulation was able to mimic the biomechanical behavior of the USLs and CLs, in response to different anchoring techniques, which can be help improving the outcomes of the prolapse surgery. © 2021 Elsevier Ltd",TRUE,"Focuses on mesh anchoring simulations for uterine prolapse repair and doesn’t cover automatic prediction or aesthetic outcome evaluation, so it falls outside the review’s scope."
Biomechanical comparison of locking and non-locking patient-specific mandibular reconstruction plate using finite element analysis,Zhong S.; Shi Q.; Sun Y.; Yang S.; Van Dessel J.; Gu Y.; Chen X.; Lübbers H.-T.; Politis C.,2021,Journal of the Mechanical Behavior of Biomedical Materials,10.1016/j.jmbbm.2021.104849,"Patient-specific mandibular reconstruction plate (PSMRP), as one of the patient-specific implants (PSIs), offers a host of benefits to mandibular reconstruction. Due to the limitation of fabricating screw hole threads in the PSMRP, 3D printed PSMRP is applied to the non-locking system directly in the mandibular reconstruction with bone graft regardless of the locking system. Since the conventional manual-bending reconstruction plate (CMBRP) provides better fixation in the locking system, it needs to be validated whether the locking PSMRP performs better than the non-locking PSMRP in the patient-specific mandibular reconstruction. Thereupon, the purpose of this study was to compare the biomechanical behavior between the locking and non-locking PSMRP. Finite element analysis (FEA) was used to conduct the biomechanical comparison between the locking PSMRP and non-locking PSMRP by simulating the momentary incisal clenching through static structural analysis. Mandible was reconstructed through the virtual surgical planning, and subsequently a 3D model of mandibular reconstruction assembly, including reconstructed mandible, PSMRP, and fixation screws, was generated and meshed for the following FEA simulations. In the form of equivalent von Mises stress, equivalent elastic strain, and total deformation, the locking PSMRP demonstrated its higher strengths of preferable safety, desirable flexibility, and anticipated stability compared with the non-locking PSMRP, indicated by much lower maximum stress, lower maximum strain and equivalent displacement. Locking PSMRP/screw system provides a better fixation effect to the patient-specific mandibular reconstruction than the non-locking one as a result of its productive fixation nature. FEA plays a paramount role in pre-validating the design of PSMRP through the biomechanical behavior evaluation in static structural analysis. © 2021 Elsevier Ltd",TRUE,"Focuses on biomechanical comparisons without covering automatic prediction or aesthetic evaluation, so it doesn't fit the review’s topic."
Plastic hexahedral FEM for surgical simulation,Gao R.; Peters J.,2022,International Journal of Computer Assisted Radiology and Surgery,10.1007/s11548-022-02742-9,"Purpose: Soft-tissue manipulations, such as collecting, stretching or tearing tissue, are a common component of surgery. When too much force is applied, these manipulations result in a residual plastic deformation that surgeons should be aware of and that should be modeled by surgical simulation. Methods: Many tissues, vessels and organs can be modeled as offsets of curved simple shapes with primary directions, e.g., radial and axial for cylinders yield a rectangular mesh whose normal offset naturally yields a hexahedral mesh that can serve as a thick shell. Other organs are easy to embed into and deform following a hex mesh. We extend existing code for the volumetric finite element method (FEM) to model tissue plasticity as hexahedral thick shells or embedded organs. Specifically, the work extends the open source Simulation Open Framework Architecture and its newest hyperelastic deformation addition, Caribou, with focus on surgical simulation. The extension factors deformation gradients into (corotational or hyperelastic) elastic factors and plastic factors and enforces volume preservation. Limits on per-element twist, twist torque, material hardening and bounds on plasticity where elements invert avoid the need for re-meshing. Results: Our hexahedral FEM avoids the biased outcomes of asymmetric coarsely-partitioned tetrahedral FEM. Caribou’s hyperelastic FEM is extended to hex-FEM stretching plasticity. Our high-order accurate blended-vertex deformation enables coarse hex meshes to model large plastic rotational and stretch deformations without re-meshing. We compare a vertex-blended to a cell-centered piecewise constant approach; contrast plasticity based on corotational FEM and hyperelastic FEM; and test the computation under mesh refinement. The volume is preserved also for large deformations. Conclusion: On-the-fly generated hexahedral meshes can directly be used as finite element domains for plastic deformation based on corotational or hyperelastic elasticity. The outcome is suitable for surgical simulation. © 2022, CARS.",TRUE,"Focuses on biomechanical modeling for surgical simulation but doesn’t cover automatic prediction or evaluation of aesthetic results, which is key for assessing aesthetics in plastic and cancer surgery."
Additively manufactured polyethylene terephthalate scaffolds for scapholunate interosseous ligament reconstruction,Gomez-Cerezo M.N.; Perevoshchikova N.; Ruan R.; Moerman K.M.; Bindra R.; Lloyd D.G.; Zheng M.H.; Saxby D.J.; Vaquette C.,2023,Biomaterials Advances,10.1016/j.bioadv.2023.213397,"The regeneration of the ruptured scapholunate interosseous ligament (SLIL) represents a clinical challenge. Here, we propose the use of a Bone-Ligament-Bone (BLB) 3D-printed polyethylene terephthalate (PET) scaffold for achieving mechanical stabilisation of the scaphoid and lunate following SLIL rupture. The BLB scaffold featured two bone compartments bridged by aligned fibres (ligament compartment) mimicking the architecture of the native tissue. The scaffold presented tensile stiffness in the range of 260 ± 38 N/mm and ultimate load of 113 ± 13 N, which would support physiological loading. A finite element analysis (FEA), using inverse finite element analysis (iFEA) for material property identification, showed an adequate fit between simulation and experimental data. The scaffold was then biofunctionalized using two different methods: injected with a Gelatin Methacryloyl solution containing human mesenchymal stem cell spheroids (hMSC) or seeded with tendon-derived stem cells (TDSC) and placed in a bioreactor to undergo cyclic deformation. The first approach demonstrated high cell viability, as cells migrated out of the spheroid and colonised the interstitial space of the scaffold. These cells adopted an elongated morphology suggesting the internal architecture of the scaffold exerted topographical guidance. The second method demonstrated the high resilience of the scaffold to cyclic deformation and the secretion of a fibroblastic related protein was enhanced by the mechanical stimulation. This process promoted the expression of relevant proteins, such as Tenomodulin (TNMD), indicating mechanical stimulation may enhance cell differentiation and be useful prior to surgical implantation. In conclusion, the PET scaffold presented several promising characteristics for the immediate mechanical stabilisation of disassociated scaphoid and lunate and, in the longer-term, the regeneration of the ruptured SLIL. © 2023 Elsevier B.V.",TRUE,Focuses on biomaterial scaffold development for ligament reconstruction and doesn’t cover automatic prediction or assessment of aesthetic results in plastic or cancer-related surgery.
An in-silico bone drilling protocol to control thrust forces using finite element analysis coupled with the constitutive models,Prasannavenkadesan V.; Pandithevan P.,2022,"Proceedings of the Institution of Mechanical Engineers, Part C: Journal of Mechanical Engineering Science",10.1177/09544062221088403,"In orthopaedic surgeries, drilling through bone is most widely used to fix the plates and implants. The uncontrolled large thrust forces generated during bone drilling cause micro-crack, and fragmentation around the local host bone which further loosen the implant and fixation. Owing to the experimental limitation and the risk of infection in handling the bone specimens, conducting experiments with all possible combinations of parameter values and selecting the suitable combination is largely limited. So in this paper, finite element analysis coupled with the constitutive models was used to early predict the thrust forces generated in the surgical bone drilling process. The constitutive models developed in the earlier study, namely, Johnson–Cook, Cowper–Symonds, and Johnson–Cook combined with Cowper–Symonds that consider the strain rate dependence of plastic curve were used for the simulations. Results revealed that the trends of the thrust force values predicted from the constitutive models matched well with the experiments. However, the study showed that the Johnson–Cook model combined with the Cowper–Symonds model predicted the thrust forces with a maximum error of only 9.51% followed by the Johnson–Cook model and Cowper–Symonds model with 15.83% and 21.89%, respectively. The outcomes of the study can be used to predict the thrust forces generated in the bone drilling process, and thus, suitable parameters values can be selected to avoid the mechanical damages around the bone drilling site. The outcomes can also be used to plan and rehearse the in-silico bone drilling trials with any combinations of parameter values before performing the actual surgery. © IMechE 2022.",TRUE,"Focuses on biomechanical bone drilling forces and doesn’t cover predicting or evaluating aesthetic outcomes in plastic or cancer-related surgery, so it’s outside the review’s scope."
Study and numerical analysis of Von Mises stress of a new tumor-type distal femoral prosthesis comprising a peek composite reinforced with carbon fibers: finite element analysis,Guo Y.; Guo W.,2022,Computer Methods in Biomechanics and Biomedical Engineering,10.1080/10255842.2022.2032681,"Research on carbon-fiber-reinforced polyetheretherketone (CF-PEEK/CFR-PEEK) as a bone tumor joint prosthesis remains limited. Herein we numerically determine the feasibility of CF-PEEK material containing 30% Wt carbon fiber (CF30-PEEK) as a material for the dual-action tumor-type distal femoral prosthesis. Use CT scan method to build a complete finite element model of the knee joint. Simulate the resection of the distal femoral tumor, and then reconstruct it with the dual-action tumor-type distal femoral prosthesis. The femoral condyle and extension rod components were simulated with cobalt chromium molybdenum (CoCrMo), PEEK and CF30-PEEK materials respectively. When simulating the standing state, a vertical stress of 700 N is applied to the femoral head. When simulating the squatting state, a vertical stress of 2800 N is applied to the femoral head. The displacement and rotation angle of each node of the distal tibia are fully restrained in three directions (X-axis, Y-axis, Z-axis). We examined the stress magnitude, stress distribution, and stability of the prosthesis and each of its components by means of finite element analysis (FE analysis). The FE analysis results show: after replacing the distal femur and the extension rod with CF30-PEEK material, the stress is still evenly distributed, and the average stress is significantly reduced. In addition, the stability is similar to CoCrMo material. Therefore, CF30-PEEK is an appropriate material for this type of prosthesis. © 2022 Informa UK Limited, trading as Taylor & Francis Group.",TRUE,"Focuses on biomechanical analysis of prosthesis materials without looking at automatic prediction or aesthetic evaluation in surgery, so it doesn’t fit the review’s topic."
A computer based facial flaps simulator using projective dynamics,Wang Q.; Tao Y.; Cutting C.; Sifakis E.,2022,Computer Methods and Programs in Biomedicine,10.1016/j.cmpb.2022.106730,"Background and Objectives: Interactive surgical simulation using the finite element method to model human skin mechanics has been an elusive goal. Mass-spring networks, while fast, do not provide the required accuracy. Methods: This paper presents an interactive, cognitive, facial flaps simulator based on a projective dynamics computational framework. Projective dynamics is able to generate rapid, stable results following changes to the facial soft tissues created by the surgeon, even in the face of sudden increases in skin resistance as its stretch limit is reached or collision between tissues occurs. Our prior work with the finite element method had been hampered by these considerations. Surgical tools are provided for; skin incision, undermining, deep tissue cutting, and excision. A spring-like “skin hook” is used for retraction. Spring-based sutures can be placed individually or automatically placed as a row between cardinal sutures. Results: Examples of an Abbe/Estlander lip reconstruction, a paramedian forehead flap to the nose, a retroauricular flap reconstruction of the external ear, and a cervico-facial flap reconstruction of a cheek defect are presented. Conclusions: Projective dynamics has significant advantages over mass-spring and finite element methods as the physics backbone for interactive soft tissue surgical simulation. © 2022 The Authors",TRUE,"Focuses on surgical simulation methods but misses automatic prediction or objective assessment of aesthetic results, which is key to the review."
