Title,DOI,Responsible,Model,Surgery/Modality,Prediction Type,Summary,Limitations,Evaluation,Dataset (link),Size/Annotations,Ethnicities,Age range,Sex,Acquisition Centers
Breast retraction assessment: an objective evaluation of cosmetic results of patients treated conservatively for breast cancer,https://doi.org/10.1016/0360-3016(85)90190-7,Helena,Traditional,Lumpectomy,Objective Metric, Symmetry-based method: BRA - evaluates the vertical and horizontal displacement of the nipples by calculating their distance to the sternal notch,"Requires keypoint annotations; Sensitive to small alterations to keypoints, particularly in the sternal notch, which may not be visible in frontal images",,Private (no link),56 patients,N/R,N/R,F,N/R
Cosmetic evaluation of breast conserving treatment for mammary cancer. 1. proposal of a quantitative scoring system,https://doi.org/10.1016/0167-8140(89)90016-9,Helena,Traditional,Lumpectomy,Objective Metric,Symmetry-based method: LBC - evaluates the displacement between the lowest contour of the breast; UNR - evaluates the vertical displacement of the nipples by calculating their relative distance (UNR),Requires keypoint annotations,,Private (no link),142 patients,N/R,N/R,F,N/R
Breast compliance: a new method for evaluation of cosmetic outcome after conservative treatment of early breast cancer,https://doi.org/10.1007/BF01806355,Helena,Traditional,Lumpectomy,Objective Metric,Symmetry-based method: BCE - evaluates the vertical displacement of the nipples by calculating their distance to the lowest point of each breast,Requires keypoint annotations,,Private (no link),151 women,N/R,N/R,F,Breast Unit at Guy's Hospital
Towards an intelligent medical system for the aesthetic evaluation of breast cancer conservative treatment,https://doi.org/10.1016/j.artmed.2007.02.007,Helena,Traditional,Lumpectomy,Objective Metric,"BAD, BOD, etc",Requires keypoint annotations,,Available upon request,113 patients (PORTO),white (portuguese),N/R,F,1 clinical center
An Artificial Intelligence Approach to the Assessment of Abnormal Lid Position,https://doi.org/10.1097/GOX.0000000000003089,Helena,Traditional,Ptosis,Objective Metric,"Obtains two objective metrics - Vertical Palpebral Aperture Measure, Interpupillary Distance - based on face landmarks.",,,Private (no link),32 pre/post-op pairs,N/R,N/R,N/R,Google search (multi source)
Three-Dimensional Analysis of Nasal Symmetry following Primary Correction of Unilateral Cleft Lip Nasal Deformity,https://doi.org/10.1597/16-073,Helena,Traditional,Rhinoplasty,Objective Metric,Propose RMSD - root mean squared deviation between native and reflected nose surfaces for the evaluation of asymmetry in rhinoplasty for the reconstruction of nasal deformities due to cleft lip.,,,Private (no link),76 patients,N/R,N/R,N/R,N/R
Objective and Interpretable Breast Cosmesis Evaluation with Attention Guided Denoising Diffusion Anomaly Detection Model,https://doi.org/10.1016/j.ijrobp.2024.07.1427,Helena,DDPM,Mastectomy,Objective Metric,"Uses self-supervised ViT to identify relevant image regions (breasts), generating a mask which is then used to condition a DDPM to generate breast images while preserving the background and manupulating the breasts within the mask according to the probability distribution of the data (mostly composed of Excellent/Good images). Then, it uses the DDPM's reconstruction error as the anomaly score. The images generated by DDPM can be used as explanations and add interpretability","The images generated by DDPMs have some variability, which may affect the anomaly score",Evaluates correlation between anomaly score and aesthetic evaluation labels; Cohen Kappa to evaluate agreement with experts; compares results against BCCT.core,Private (no link),"1537 images, 300 with aesthetic scores",N/R,N/R,F,Yonsei Cancer Center
Feasibility of anomaly score detected with deep learning in irradiated breast cancer patients with reconstruction,https://doi.org/10.1038/s41746-022-00671-0,Helena,GAN,Mastectomy,Objective Metric,"Uses a GAN for unsupervised anomaly detection, calculating an anomaly score as an objective metric for aesthetic evaluation. The GAN is first trained on 3D images obtained based on CT scans, then an encoder is trained to reconstruct the original image. The anomaly score is the reconstruction error + error between features extracted by discriminator",Lack of interpretability. It is unclear what the anomaly score specifically evaluates in the images (particularly the discriminator feature representations).,N/A (Evaluates surgeries rather than anomaly score),Available upon request,train: 251 CT images of patients; test: 61 CT images of patients,N/R,32 <=45yo; 29 >45yo,F,Seoul National University Bundang Hospital
Evaluation of cosmetic outcomes in breast reconstruction patients undergoing radiotherapy using an anomaly generative adversarial network model,https://doi.org/10.1038/s41598-024-66959-1,Helena,GAN,Mastectomy,Objective Metric,Same as above on a new dataset,same as above,same as above,Available upon request,82 CT + postop images of patients,N/R,"[29,62], mean=46",F,Seoul National University Bundang Hospital
Applying artificial intelligence to assess the impact of orthognathic treatment on facial attractiveness and estimated age,https://doi.org/10.1016/j.ijom.2018.07.010,Helena,VGG-16,orthognatic surgery,Atteractiveness score (1-100),"Trains CNN to predict facial attractiveness in a scale from 1 to 100 on images and ratings from a dating site, and applies it to evaluate pre- and post- orthognatic images, verifying increases in attractiveness between pre- and post- images",,,Private (no link),2164 pre/post pairs of 146 patients,N/R,N/R,N/R,Clinic of Orthodontics and Paediatric Dentistr
