Unnamed: 0,DOI,Year,Responsible,Modality,Number of Papers,Unnamed: 6,Descriptive Quality [1-5],Description of,Unnamed: 9,Unnamed: 10,Scope,Observations,Unnamed: 13,Descriptive Quality [1-5].1,Unnamed: 15
,,,,,Prediction,Evaluation,,Datasets,Evaluation Metrics,Clinical Studies,,,,Score,Description
Applications of Machine Learning in Facial Cosmetic Surgeries: A Scoping Review,https://doi.org/10.1007/s00266-023-03379-y,2023.0,Helena,Facial Cosmetic Surgery,4,7,3,No,No,Yes,AI Applications,Includes 2 prediction works that are not related with surgery (facial rejuvenation through dermal fillers); Works mislabelled as outcome prediction; Overall reductive without explaining the technology; Reviewed mostly clinical trials.,,1,Reference without description
Machine Learning Demonstrates High Accuracy for Disease Diagnosis and Prognosis in Plastic Surgery,https://doi.org/10.1097/GOX.0000000000003638,2021.0,Helena,Various,2,0,3,,,,AI Applications,,,2,Basic description of purpose
"Machine Learning, Deep Learning, Artificial Intelligence and Aesthetic Plastic Surgery: A Qualitative Systematic Review",https://doi.org/10.1007/s00266-024-04421-3,2024.0,Helena,Various,3,2,3,,,,AI Applications,"Discusses potential impact of outcome prediction that may generate ""unrealistically beautiful"" post operative images, misguiding the patients and setting unrealistic expectations.",,3,"Basic description of methodology (e.g., uses GANs)"
Machine Learning and Surgical Outcomes Prediction: A Systematic Review,https://doi.org/10.1016/j.jss.2021.02.045,2021.0,Helena,Beyond Plastic Surgery,0,0,5,No,No,No,Surgical Outcome Prediction (beyond aesthetics),Does not present any work in aesthetic outcome prediction/evaluation,,4,"Detailed description of methodology (e.g., describes how GAN is adapted)"
Image Aesthetic Assessment: A Comparative Study of Hand-Crafted & Deep Learning Models,https://doi.org/10.1109/ACCESS.2022.3209196,2022.0,Helena,,0,0,-,-,-,-,Generic image aesthetic evaluation,Does not present any work in plastic surgery,,5,Critical analysis of strengths and limitations
A systematic review of generative adversarial networks (GANs) in plastic surgery,https://doi.org/10.1016/j.bjps.2024.04.007,2024.0,Helena,Various,2,1,4,No,Yes,No,GAN Applications,"Includes generic description of limitations of GANs, does not provide limitations of each work; Presents list of objective metrics but assumes that all can be simultaneously used to evaluate GAN performance, which is not true as the types of metrics to use depend on the desired output, available data and goal of the GAN",,,
"Artificial Intelligence in Plastic Surgery: Advancements, Applications, and Future",https://doi.org/10.3390/cosmetics11040109,,,,,,,,,,,,,,
Artificial intelligence applications and ethical challenges in oral and maxillo-facial cosmetic surgery: a narrative review,https://doi.org/10.1186/s40902-023-00382-w,,,,,,,,,,,,,,
Artificial Intelligence in Facial Plastic and Reconstructive Surgery: A Systematic Review,https://doi.org/10.1055/a-2216-5099,,,,,,,,,,,,,,
A narrative review of artificial intelligence (AI) for objective assessment of aesthetic endpoints in plastic surgery,https://doi.org/10.1007/s00266-023-03328-9,2023.0,Helena,Various,0,4,3,No,No,Yes (18+),Surgical Outcome Prediction (beyond aesthetics),"Presents 18 clinical studies + 14 proposed methodologies for outcome assessment; Out of the 14, only 3 truly evaluate aesthetic outcomes; others are diagnostic tools",,,
Computer analysis of face beauty: A survey,https://doi.org/10.1016/j.cviu.2014.04.006,,,,,,,,,,,,,,
"Artificial intelligence in plastic surgery: advancements, applications, and future",https://doi.org/10.3390/cosmetics11040109,,,,,,,,,,,,,,
Artificial intelligence applications and ethical challenges in oral and maxillo-facial cosmetic surgery: a narrative review,https://doi.org/10.1186/s40902-023-00382-w,,,,,,,,,,,,,,
