Title,DOI,Modality,Description
A Novel Validated Breast Aesthetic Scale,https://doi.org/10.1097/PRS.0000000000009156,Breast,Scale for breast aesthetic evaluation (VBRAS) with 13 items
Analysis of cosmetic results following primary radiation therapy for stages I and II carcinoma of the breast,https://doi.org/10.1016/0360-3016(79)90729-6,Breast,"Harvard Scale for breast aesthetic evaluation (4 grades, from poor to excellent)"
"Aesthetic, Quality-of-Life, and Clinical Outcomes after Inferior Pedicle Oncoplastic Reduction Mammoplasty",https://doi.org/10.1007/s00266-023-03257-7,Breast,Clinical study that uses Breast-Q (patient reported outcomes) and VBRAS scale (annotated by specialists)
Development of a New Patient-Reported Outcome Measure for Breast Surgery: The BREAST-Q,https://doi.org/10.1097/PRS.0b013e3181aee807,Breast,"Breast-Q: questionnaire for patient reported outcomes after breast surgery evaluating satisfaction with breast, satisfaction with treatment and quality of life after treatment"
The surgeon's perceived value of patient-reported outcome measures (PROMs): an exploratory qualitative study of 5 different surgical subspecialties,https://doi.org/10.1097/SLA.0000000000004253,Various,"Study evaluating surgeon's perspectives on PROMs, "
"Benefits of a Short, Practical Questionnaire to Measure Subjective Perception of Nasal Appearance after Aesthetic Rhinoplasty",https://doi.org/10.1097/01.prs.0000434403.83692.95,Rhynoplasty,Utrecht Questionaire - PROM (patient reported outcome measure) to assess the aesthetic outcome of rhynoplasty
Development and validation of the expectations of aesthetic rhinoplasty scale,https://doi.org/10.5999/aps.2016.43.4.365,Rhynoplasty,Expectations of Aesthetic Rhinoplasty Scale (EARS) - Scale to measure patient expectations before rhynoplasty and pinpoint patients with body dysmorphic disorder
Measuring Patient-Reported Outcomes in Facial Aesthetic Patients: Development of the FACE-Q,https://doi.org/10.1055/s-0030-1262313,Rhynoplasty,Face-Q: PROM to evaluate various items in patients that underwent facial plastic surgery
Outcomes Research in Facial Plastic Surgery: A Review and New Directions,https://doi.org/10.1007/s002660010031,Various ,"Questionnaires for Rhynoplasty Outcome Evaluation, Blaspheroplasty Outcome Evaluation, etc. focusing on appearance and functionality. "
The 10-item standardized cosmesis and health nasal outcomes survey (SCHNOS) for functional and cosmetic rhinoplasty,https://doi.org/10.1001/jamafacial.2017.1083,Rhynoplasty,PROM for rhynoplasty that evaluates both aesthetic and functional outcomes
Pre-operative drawings of anticipated closures as a visual tool to align patient and physician expectations for Mohs and reconstructive surgery,https://doi.org/10.1007/s00403-023-02774-4,Skin,Drawing on the patient's skin as a manner of explaining the expected aesthetic outcome of treatment for reconstructive surgery after Mohs microscopic surgery (skin cancer removal)
The Effect of Photographic Visual Aids in Preoperative Patient Counseling in Oculoplastic Surgery,,Oculoplastic,Study regarding patient counseling with and without photos of past cases
Subjective assessment of facial aesthetics after maxillofacial orthognathic surgery for obstructive sleep apnoea,https://doi.org/10.1016/j.bjoms.2014.11.018,Orthognathic Surgery,Study regarding subjective aesthetic evaluation
